clause_id,content_type,state,citation,citation_status,verification_status,effective_from,last_checked,supersedes,notes
rent-payment,LEASE_CLAUSE,KS,,GENERIC,VERIFIED,2026-08-22,2026-08-22,,"Generic contract mechanics; KS whole-library audit (session 5, 2026-08-22) found no KS-specific statutory language and confirmed no conflict with this project's other KS findings."
returned-payments,LEASE_CLAUSE,KS,,GENERIC,VERIFIED,2026-08-22,2026-08-22,,"Generic contract mechanics; KS whole-library audit (session 5, 2026-08-22) found no KS-specific statutory language and confirmed no conflict with this project's other KS findings."
due-at-signing,LEASE_CLAUSE,KS,,GENERIC,VERIFIED,2026-08-22,2026-08-22,,"Generic contract mechanics; KS whole-library audit (session 5, 2026-08-22) found no KS-specific statutory language and confirmed no conflict with this project's other KS findings."
application-of-payments,LEASE_CLAUSE,KS,,GENERIC,VERIFIED,2026-08-22,2026-08-22,,"Generic contract mechanics; KS whole-library audit (session 5, 2026-08-22) found no KS-specific statutory language and confirmed no conflict with this project's other KS findings."
residential-use-only,LEASE_CLAUSE,KS,,GENERIC,VERIFIED,2026-08-22,2026-08-22,,"Generic contract mechanics; KS whole-library audit (session 5, 2026-08-22) found no KS-specific statutory language and confirmed no conflict with this project's other KS findings."
existing-condition,LEASE_CLAUSE,KS,,GENERIC,VERIFIED,2026-08-22,2026-08-22,,"Generic contract mechanics; KS whole-library audit (session 5, 2026-08-22) found no KS-specific statutory language and confirmed no conflict with this project's other KS findings."
permitted-occupants,LEASE_CLAUSE,KS,,GENERIC,VERIFIED,2026-08-22,2026-08-22,,"Generic contract mechanics; KS whole-library audit (session 5, 2026-08-22) found no KS-specific statutory language and confirmed no conflict with this project's other KS findings."
no-disturbance,LEASE_CLAUSE,KS,,GENERIC,VERIFIED,2026-08-22,2026-08-22,,"Generic contract mechanics; KS whole-library audit (session 5, 2026-08-22) found no KS-specific statutory language and confirmed no conflict with this project's other KS findings."
smoking-policy,LEASE_CLAUSE,KS,,GENERIC,VERIFIED,2026-08-22,2026-08-22,,"Generic contract mechanics; KS whole-library audit (session 5, 2026-08-22) found no KS-specific statutory language and confirmed no conflict with this project's other KS findings."
utilities-responsibility,LEASE_CLAUSE,KS,,GENERIC,VERIFIED,2026-08-22,2026-08-22,,"Generic contract mechanics; KS whole-library audit (session 5, 2026-08-22) found no KS-specific statutory language and confirmed no conflict with this project's other KS findings."
utility-service-continuity,LEASE_CLAUSE,KS,,GENERIC,VERIFIED,2026-08-22,2026-08-22,,"Generic contract mechanics; KS whole-library audit (session 5, 2026-08-22) found no KS-specific statutory language and confirmed no conflict with this project's other KS findings."
utility-payment-evidence,LEASE_CLAUSE,KS,,GENERIC,VERIFIED,2026-08-22,2026-08-22,,"Generic contract mechanics; KS whole-library audit (session 5, 2026-08-22) found no KS-specific statutory language and confirmed no conflict with this project's other KS findings."
acceptable-payment-methods,LEASE_CLAUSE,KS,,GENERIC,VERIFIED,2026-08-22,2026-08-22,,"Generic contract mechanics; KS whole-library audit (session 5, 2026-08-22) found no KS-specific statutory language and confirmed no conflict with this project's other KS findings."
no-sublet-assign,LEASE_CLAUSE,KS,,GENERIC,VERIFIED,2026-08-22,2026-08-22,,"Generic contract mechanics; KS whole-library audit (session 5, 2026-08-22) found no KS-specific statutory language and confirmed no conflict with this project's other KS findings."
no-alterations,LEASE_CLAUSE,KS,,GENERIC,VERIFIED,2026-08-22,2026-08-22,,"Generic contract mechanics; KS whole-library audit (session 5, 2026-08-22) found no KS-specific statutory language and confirmed no conflict with this project's other KS findings."
joint-liability,LEASE_CLAUSE,KS,,GENERIC,VERIFIED,2026-08-22,2026-08-22,,"Generic contract mechanics; KS whole-library audit (session 5, 2026-08-22) found no KS-specific statutory language and confirmed no conflict with this project's other KS findings."
utilities-paid-by-landlord,LEASE_CLAUSE,KS,,GENERIC,VERIFIED,2026-08-22,2026-08-22,,"Generic contract mechanics; KS whole-library audit (session 5, 2026-08-22) found no KS-specific statutory language and confirmed no conflict with this project's other KS findings."
appliances-included,LEASE_CLAUSE,KS,,GENERIC,VERIFIED,2026-08-22,2026-08-22,,"Generic contract mechanics; KS whole-library audit (session 5, 2026-08-22) found no KS-specific statutory language and confirmed no conflict with this project's other KS findings."
notices,LEASE_CLAUSE,KS,,GENERIC,VERIFIED,2026-08-22,2026-08-22,,"Generic contract mechanics; KS whole-library audit (session 5, 2026-08-22) found no KS-specific statutory language and confirmed no conflict with this project's other KS findings."
governing-law,LEASE_CLAUSE,KS,,GENERIC,VERIFIED,2026-08-22,2026-08-22,,"Generic contract mechanics; KS whole-library audit (session 5, 2026-08-22) found no KS-specific statutory language and confirmed no conflict with this project's other KS findings."
severability,LEASE_CLAUSE,KS,,GENERIC,VERIFIED,2026-08-22,2026-08-22,,"Generic contract mechanics; KS whole-library audit (session 5, 2026-08-22) found no KS-specific statutory language and confirmed no conflict with this project's other KS findings."
entire-agreement,LEASE_CLAUSE,KS,,GENERIC,VERIFIED,2026-08-22,2026-08-22,,"Generic contract mechanics; KS whole-library audit (session 5, 2026-08-22) found no KS-specific statutory language and confirmed no conflict with this project's other KS findings."
addendum-precedence,LEASE_CLAUSE,KS,,GENERIC,VERIFIED,2026-08-22,2026-08-22,,"Generic contract mechanics; KS whole-library audit (session 5, 2026-08-22) found no KS-specific statutory language and confirmed no conflict with this project's other KS findings."
electronic-signatures,LEASE_CLAUSE,KS,,GENERIC,VERIFIED,2026-08-22,2026-08-22,,"Generic contract mechanics; KS whole-library audit (session 5, 2026-08-22) found no KS-specific statutory language and confirmed no conflict with this project's other KS findings."
pet-insurance-requirement,LEASE_CLAUSE,KS,,GENERIC,VERIFIED,2026-08-22,2026-08-22,,"Generic contract mechanics; KS whole-library audit (session 5, 2026-08-22) found no KS-specific statutory language and confirmed no conflict with this project's other KS findings."
