clause_id,content_type,state,citation,citation_status,verification_status,effective_from,last_checked,supersedes,notes
abandoned-property-nd,LEASE_CLAUSE,ND,N.D.C.C. § 47-16-30.1,CITED,VERIFIED,2026-09-06,2026-09-06,,"Self-help disposal route for abandoned property valued at $2,500 or less, with a 28-day wait. Open question, not resolved: the statute doesn't address property valued above $2,500, leaving higher-value abandoned property's process unclear. Post-eviction removal (after judgment plus special execution served) creates a separate landlord's lien for storage/moving costs, subordinate to any prior perfected security interest -- kept as landlord-facing detail only in edu-post-writ-property-duties-nd, not folded into this tenant-facing clause."
acceptable-payment-methods,LEASE_CLAUSE,ND,,GENERIC,VERIFIED,2026-08-23,2026-09-06,,"Generic contract-mechanics clause; ND re-audit (2026-09-06, exhaustive generic-clause audit) read all of N.D.C.C. ch. 47-16 in full and found no ND-specific statutory language or conflict. North Dakota has no enumerated prohibited-lease-provisions statute (confirmed this session -- § 47-16-02 is a maximum-term cap, § 47-16-13.3 supplies only case-by-case unconscionability), so the exculpation-language fixes forced in KS/NE do not arise for ND."
addendum-precedence,LEASE_CLAUSE,ND,,GENERIC,VERIFIED,2026-08-23,2026-09-06,,"Generic contract-mechanics clause; ND re-audit (2026-09-06, exhaustive generic-clause audit) read all of N.D.C.C. ch. 47-16 in full and found no ND-specific statutory language or conflict. North Dakota has no enumerated prohibited-lease-provisions statute (confirmed this session -- § 47-16-02 is a maximum-term cap, § 47-16-13.3 supplies only case-by-case unconscionability), so the exculpation-language fixes forced in KS/NE do not arise for ND."
appliances-included,LEASE_CLAUSE,ND,,GENERIC,VERIFIED,2026-08-23,2026-09-06,,"Generic contract-mechanics clause; ND re-audit (2026-09-06, exhaustive generic-clause audit) read all of N.D.C.C. ch. 47-16 in full and found no ND-specific statutory language or conflict. North Dakota has no enumerated prohibited-lease-provisions statute (confirmed this session -- § 47-16-02 is a maximum-term cap, § 47-16-13.3 supplies only case-by-case unconscionability), so the exculpation-language fixes forced in KS/NE do not arise for ND."
application-of-payments,LEASE_CLAUSE,ND,,GENERIC,VERIFIED,2026-08-23,2026-09-06,,"Generic contract-mechanics clause; ND re-audit (2026-09-06, exhaustive generic-clause audit) read all of N.D.C.C. ch. 47-16 in full and found no ND-specific statutory language or conflict. North Dakota has no enumerated prohibited-lease-provisions statute (confirmed this session -- § 47-16-02 is a maximum-term cap, § 47-16-13.3 supplies only case-by-case unconscionability), so the exculpation-language fixes forced in KS/NE do not arise for ND."
assigned-parking-space,LEASE_CLAUSE,ND,,GENERIC,VERIFIED,2026-08-23,2026-09-06,,"Generic contract-mechanics clause; ND re-audit (2026-09-06, exhaustive generic-clause audit) read all of N.D.C.C. ch. 47-16 in full and found no ND-specific statutory language or conflict. North Dakota has no enumerated prohibited-lease-provisions statute (confirmed this session -- § 47-16-02 is a maximum-term cap, § 47-16-13.3 supplies only case-by-case unconscionability), so the exculpation-language fixes forced in KS/NE do not arise for ND."
assistance-animal-accommodation-nd,LEASE_CLAUSE,ND,"N.D.C.C. §§ 47-16-07.5, 47-16-07.6",CITED,VERIFIED,2026-09-06,2026-09-17,assistance-animal-accommodation,"CONFIRMED via Claude Browser primary-source verification 2026-09-17, closing this row's own PARTIAL status. Both sections are CURRENT and UNAMENDED. A 2025 bill, SB 2222, had been believed (via corroborating 2026-dated secondary sources) to have amended these sections -- that belief was WRONG. SB 2222 FAILED on second reading in the ND Senate, 2025-02-17 (yeas 1, nays 44), and never amended anything. Root cause: secondary sources describing a bill were mistaken for evidence of its enactment -- the same failure shape as this project's earlier superseded-draft-read-as-enacted-law errors (CO's carpet lookback, KS's HB 2357). The exact statutory penalty for false claims is now verified and recorded separately at edu-service-animal-fraud-penalty-nd (new row, same session) rather than restated here, since the mechanics -- an infraction, a conviction-gated $1,000 damage fee, and a real drafting ambiguity over whether the fee reaches a bare false claim without fraudulent documentation -- are too specific for tenant-facing clause text."
common-area-use,LEASE_CLAUSE,ND,,GENERIC,VERIFIED,2026-08-23,2026-09-06,,"Generic contract-mechanics clause; ND re-audit (2026-09-06, exhaustive generic-clause audit) read all of N.D.C.C. ch. 47-16 in full and found no ND-specific statutory language or conflict. North Dakota has no enumerated prohibited-lease-provisions statute (confirmed this session -- § 47-16-02 is a maximum-term cap, § 47-16-13.3 supplies only case-by-case unconscionability), so the exculpation-language fixes forced in KS/NE do not arise for ND."
default-by-tenant,LEASE_CLAUSE,ND,,GENERIC,VERIFIED,2026-08-23,2026-09-06,,"Generic contract-mechanics clause; ND re-audit (2026-09-06, exhaustive generic-clause audit) read all of N.D.C.C. ch. 47-16 in full and found no ND-specific statutory language or conflict. North Dakota has no enumerated prohibited-lease-provisions statute (confirmed this session -- § 47-16-02 is a maximum-term cap, § 47-16-13.3 supplies only case-by-case unconscionability), so the exculpation-language fixes forced in KS/NE do not arise for ND."
due-at-signing,LEASE_CLAUSE,ND,,GENERIC,VERIFIED,2026-08-23,2026-09-06,,"Generic contract-mechanics clause; ND re-audit (2026-09-06, exhaustive generic-clause audit) read all of N.D.C.C. ch. 47-16 in full and found no ND-specific statutory language or conflict. North Dakota has no enumerated prohibited-lease-provisions statute (confirmed this session -- § 47-16-02 is a maximum-term cap, § 47-16-13.3 supplies only case-by-case unconscionability), so the exculpation-language fixes forced in KS/NE do not arise for ND."
dv-lease-release-nd,LEASE_CLAUSE,ND,"N.D.C.C. § 47-16-17.1(1)-(3),(5)-(7),(9)",CITED,VERIFIED,2026-09-06,2026-09-06,,"Fills an asserted-but-nonexistent coverage gap: the consolidated named-topic checklist had recorded ND as 'Present' with mechanics confirmed, but no CSV row was ever written -- ND was the only one of the seven states with a DV-termination statute and no clause for it. ND architecture is distinct from every other state: the trigger includes prospective FEAR of imminent domestic violence, not only past victimization; documentation is limited to a court-order-based statement (ND does not accept KS/SD's police-report or health-care-provider-affidavit routes); the tenant's exit cost is the termination month's rent PLUS one additional month (a liability cap, not a penalty, subject to the landlord's mitigation duty), and payment of that extra month is a condition precedent to release from the remaining term. SCOPE CORRECTED after reading § 14-07.1-01 directly: 'domestic violence' requires the perpetrator to be a FAMILY OR HOUSEHOLD MEMBER (spouse, relative, dating partner, cohabitant, co-parent) -- a tenant threatened by a stranger, neighbor, landlord, or co-worker has no right to terminate under this section (contrast dv-state-housing-program-protection-nd, which reaches stalking and dating violence with no such limitation)."
dv-state-housing-program-protection-nd,LANDLORD_EDUCATION,ND,N.D.C.C. § 14-02.5-02(3),CITED,VERIFIED,2026-09-06,2026-09-06,,"A landlord prohibition (distinct from dv-lease-release-nd's tenant termination right) limited to housing that is part of a state housing program: may not deny admission/assistance, terminate participation, or evict based on the applicant/tenant being or having been a victim of domestic violence, DATING VIOLENCE, sexual assault, or STALKING -- broader than §47-16-17.1's 'domestic violence' alone, since dating violence and stalking appear here but not there. 'State housing program' is not defined in the chapter; its scope is a genuine statutory ambiguity, flagged rather than assumed. Enforcement runs through the ch. 14-02.5 machinery (see edu-fair-housing-enforcement-nd)."
early-termination,LEASE_CLAUSE,ND,,GENERIC,VERIFIED,2026-08-23,2026-09-06,,"Generic contract-mechanics clause; ND re-audit (2026-09-06, exhaustive generic-clause audit) read all of N.D.C.C. ch. 47-16 in full and found no ND-specific statutory language or conflict. North Dakota has no enumerated prohibited-lease-provisions statute (confirmed this session -- § 47-16-02 is a maximum-term cap, § 47-16-13.3 supplies only case-by-case unconscionability), so the exculpation-language fixes forced in KS/NE do not arise for ND."
edu-alarm-requirements-by-building-type-nd,LANDLORD_EDUCATION,ND,N.D. Admin. Code § 24.1-06-01-40,CITED,VERIFIED,2026-09-06,2026-09-06,,"State Electrical Board rule supplying the actual smoke/heat-alarm PLACEMENT rules that N.D.C.C. § 23-13-15 (smoke-detector-duty-nd's statute) never states -- the statute requires alarms but says nothing about where. THE DUPLEX RULE IS THE STANDOUT for this project's customer base: a two-family dwelling (duplex) owner must install a notification device in each unit connected to the smoke alarm system in the OTHER unit -- easy to miss and squarely aimed at a small-multi-unit owner. This is an electrical-licensing/inspection rule, not landlord-tenant law -- creates no tenant remedy under ch. 47-16 and is deliberately not drafted as lease clause text."
