clause_id,content_type,state,citation,citation_status,verification_status,effective_from,last_checked,supersedes,notes
rent-payment,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
late-fee,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
returned-payments,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
due-at-signing,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
application-of-payments,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
residential-use-only,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
permitted-occupants,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
no-disturbance,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
smoking-policy,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
utilities-responsibility,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
utility-service-continuity,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
utility-payment-evidence,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
acceptable-payment-methods,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
tenant-maintenance,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
no-sublet-assign,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
no-alterations,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
joint-liability,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
utilities-paid-by-landlord,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
appliances-included,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
possession-delay,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
surrender-end-of-term,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
early-termination,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
notices,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
governing-law,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
severability,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
tenants-property-insurance,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
entire-agreement,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
addendum-precedence,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
electronic-signatures,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
pet-policy,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
pet-insurance-requirement,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
parking,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
assigned-parking-space,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
parking-vehicle-rules,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
storage-space,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
keys,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
guest-policy,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
guest-policy-day-limit,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
common-area-use,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
fire-safety-grilling,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
landscaping-irrigation,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
snow-removal,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
inspection-rights,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
lead-based-paint,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
hoa-compliance,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict with this project's other WY findings.
landlords-access,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,"Generic contract mechanics (built-in 24-hour notice figure); WY full-library cross-check (2026-08-21) found no WY-specific statutory language and confirmed no conflict. Tagged WY;KS;NE, not CO — CO has its own override (landlords-access-co) that supersedes this row, per a display-collision bug fix (session 7)."
existing-condition,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,"Generic contractual acknowledgment; nothing in Article 12/13 conflicts. Extended to WY rather than marked universal outright, per the standing rule that universal status must be earned per-state."
security-deposit-use,LEASE_CLAUSE,WY,Wyo. Stat. § 1-21-1208(a),CITED,VERIFIED,2026-08-28,2026-08-28,,"Added 2026-08-28 when deposit-application language was split out of security-deposit-return-wy (Taylor's decision), matching the CO pattern. Two deliberate tenant-favorable deviations from §1208(a): clause only allows cleaning deductions if ""substantially less clean"" (statute allows to ""condition at start""), and omits §1208(a)'s catch-all ""any other costs this Lease provides for."""
default-by-tenant,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-09-06,,"No WY-specific override needed. A fee-shifting concern was raised 2026-08-28 (WY has no reciprocity statute per edu-no-fee-reciprocity-wy, so the clause's mutual ""prevailing party"" language is a voluntary giveaway; Taylor's decision: keep mutual language) then a stricter-standard flag was raised and RETRACTED 2026-09-06 after reading the actual case law: Cowardin v. Finnerty (Wyo. 1999); Emken, 2006 WY 112, ¶8; Thorkildsen v. Belden, 2012 WY 8; Circle Resources v. Hassler, 2023 WY 22, ¶8. WY standard is express contractual/statutory authorization (American Rule), not a heightened ""unequivocal provision"" test as this library's own edu-no-fee-reciprocity-wy row had mischaracterized it. This clause's express, named ""prevailing party"" language satisfies the real standard; no override required."
holdover,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-09-03,,"Self-limiting deferral to ""the maximum amount allowed under applicable law"" (shared-clause pass 2026-09-03 removed a hardcoded ""double the Monthly Rent"" figure that had no statutory basis in any of the 5 states then tagged, WY included). WY's own holdover-damages figure (no multiplier; actual damages, and originally believed to include a 10% interest add-on that was later found to be a misapplied citation) lives in edu-holdover-wy, not in this shared clause."
services-utilities-provided,LEASE_CLAUSE,WY,,GENERIC,VERIFIED,2026-08-21,2026-08-31,,"WY has no general prohibited-lease-provisions statute (confirmed by directly reading all 11 sections of Article 12). A 2026-09-03 shared-clause pass recast this clause's ""Tenant waives all liability"" sentence as an allocation (""Landlord is not liable"") rather than a waiver, to fix real exposure found in KS/NE; re-confirmed via WY re-audit (2026-08-31, inside the NE re-audit session) that WY has no prohibited-provisions statute at all, so the reword is neutral-to-harmless for WY, not required."
dv-safe-homes-wy,LEASE_CLAUSE,WY,"Wyo. Stat. § 1-21-1303(a),(b),(d)",CITED,VERIFIED,2026-08-21,2026-08-23,,"Statutorily-accurate/defense-framed version; SELECTED variant per Taylor's 2026-08-21 decision over a more aggressive proactive-termination-right alternative (dv-safe-homes-proactive-wy, kept inactive). Source: law.justia.com Wyoming Title 1, Ch. 21, Art. 13, §1-21-1303."
edu-safe-homes-nondiscrimination-wy,LANDLORD_EDUCATION,WY,Wyo. Stat. § 1-21-1303(c),CITED,VERIFIED,2026-08-21,2026-08-21,,"Dual-logged as both content and a standing validation check, same pattern as CO's Part 4 police-call rule."
edu-safe-homes-nonwaiver-wy,LANDLORD_EDUCATION,WY,Wyo. Stat. § 1-21-1304,CITED,VERIFIED,2026-08-21,2026-08-21,,"Unlike CO's Safe Homes protection, WY's Act (§§1-21-1301–1304, read in full) has no landlord confidentiality duty re: victim status/new address — a genuine state difference, not a research gap."
edu-repair-cost-termination-wy,LANDLORD_EDUCATION,WY,Wyo. Stat. § 1-21-1203(d),CITED,VERIFIED,2026-08-21,2026-08-21,,Classified LANDLORD_EDUCATION per Taylor's 2026-08-21 call (overrode an initial LEASE_CLAUSE recommendation).
