clause_id,content_type,state,citation,citation_status,verification_status,effective_from,last_checked,supersedes,notes
application-of-payments,LEASE_CLAUSE,CA,Civ. Code §1954.07(g)(2); CCP §1161(2),CITED,VERIFIED,2026-08-21,2026-09-19,,"CA: extended to California 2026-09-19 after re-screen against the full CA pass (the extend manifest had deferred tagging until the blocked set was resolved, and the step was then missed). Fees-first ordering is lawful in CA only because of this row's 'unless otherwise required by applicable law' hedge: Civ. Code s1954.07(g)(2) bars applying any amount tendered toward rent to the RENT-REPORTING FEE. [...full trail in lease-clauses.csv notes]"
late-fee-safe-harbor-ca,LEASE_CLAUSE,CA,Civ. Code §1671; Mil. & Vet. Code §403(b),CITED,VERIFIED,,2026-09-19,late-fee,"CA: REWRITTEN 2026-09-19 against Civ. Code s1671 (primary text supplied by Taylor). CONFIRMED STANDARD INVERSION - the prior dormant row recited the s1671(b) test ('a reasonable estimate of Landlord's actual damages'), which is the wrong test for a residential lease. s1671(c)(2) routes a lease of real property for use as a dwelling to subdivision (d), NOT (b). [...full trail in lease-clauses.csv notes]"
nsf-fee-limit-ca,LEASE_CLAUSE,CA,Civ. Code §1719(a),CITED,VERIFIED,,2026-09-19,returned-payments,"CA: REWRITTEN 2026-09-19 against Civ. Code s1719(a) (primary text supplied by Taylor). Figures CONFIRMED - $25 first, $35 each subsequent 'to that payee' - but the prior dormant row carried three defects. (1) FRAMING: it said the cap applies 'as required by California law'. s1719(a)(1) is a statutory ENTITLEMENT capped at those amounts, not a requirement to charge. [...full trail in lease-clauses.csv notes]"
residential-use-only,LEASE_CLAUSE,CA,,GENERIC,VERIFIED,2026-08-21,2026-09-19,,"CA: extended to California 2026-09-19 after re-screen against the full CA pass (the extend manifest had deferred tagging until the blocked set was resolved, and the step was then missed). No CA conflict found."
permitted-occupants,LEASE_CLAUSE,CA,,GENERIC,VERIFIED,2026-08-21,2026-09-19,,"CA: extended to California 2026-09-19 after re-screen against the full CA pass (the extend manifest had deferred tagging until the blocked set was resolved, and the step was then missed). No CA conflict found."
no-disturbance,LEASE_CLAUSE,CA,,GENERIC,VERIFIED,2026-08-21,2026-09-19,,"CA: extended to California 2026-09-19 after re-screen against the full CA pass (the extend manifest had deferred tagging until the blocked set was resolved, and the step was then missed). No CA conflict found."
smoking-policy,LEASE_CLAUSE,CA,Civ. Code §1947.5(b)(1)-(2),CITED,VERIFIED,2026-08-21,2026-09-19,,"CA: extended to California 2026-09-19. The manifest recorded this row as CLEARING (Civ. Code s1947.5(b)(1) requires a lease entered into on or after 2012-01-01 to specify the areas where smoking is prohibited, and this row does), but it was left out of the tagging batch - caught in the whole-library re-audit. [...full trail in lease-clauses.csv notes]"
utilities-responsibility,LEASE_CLAUSE,CA,,GENERIC,VERIFIED,2026-08-21,2026-09-19,,"CA: extended to California 2026-09-19 after re-screen against the full CA pass (the extend manifest had deferred tagging until the blocked set was resolved, and the step was then missed). No CA conflict found."
utility-service-continuity,LEASE_CLAUSE,CA,,GENERIC,VERIFIED,2026-08-21,2026-09-19,,"CA: extended to California 2026-09-19 after re-screen against the full CA pass (the extend manifest had deferred tagging until the blocked set was resolved, and the step was then missed). No CA conflict found."
utility-payment-evidence,LEASE_CLAUSE,CA,,GENERIC,VERIFIED,2026-08-21,2026-09-19,,"CA: extended to California 2026-09-19 after re-screen against the full CA pass (the extend manifest had deferred tagging until the blocked set was resolved, and the step was then missed). No CA conflict found."
no-alterations,LEASE_CLAUSE,CA,"Civ. Code §§54.1(b)(3)(A), 1947.6, 1940.45, 1940.41",CITED,VERIFIED,2026-08-21,2026-09-19,,"CA: extended to California 2026-09-19 after re-screen against the full CA pass (the extend manifest had deferred tagging until the blocked set was resolved, and the step was then missed). The consent requirement is lawful, but in CA it yields to statutory rights the lease cannot override: disability modifications at the tenant's expense (Civ. [...full trail in lease-clauses.csv notes]"
joint-liability,LEASE_CLAUSE,CA,,GENERIC,VERIFIED,2026-08-21,2026-09-19,,"CA: extended to California 2026-09-19 after re-screen against the full CA pass (the extend manifest had deferred tagging until the blocked set was resolved, and the step was then missed). No CA conflict found."
utilities-paid-by-landlord,LEASE_CLAUSE,CA,,GENERIC,VERIFIED,2026-08-21,2026-09-19,,"CA: extended to California 2026-09-19 after re-screen against the full CA pass (the extend manifest had deferred tagging until the blocked set was resolved, and the step was then missed). No CA conflict found."
appliances-included,LEASE_CLAUSE,CA,,GENERIC,VERIFIED,2026-08-21,2026-09-19,,"CA: extended to California 2026-09-19 after re-screen against the full CA pass (the extend manifest had deferred tagging until the blocked set was resolved, and the step was then missed). No CA conflict found. CA builder note: for leases entered, amended or extended on or after 2026-01-01, a stove and refrigerator are required landlord-supplied characteristics (stove-refrigerator-ca). [...full trail in lease-clauses.csv notes]"
