clause_id,content_type,state,citation,citation_status,verification_status,effective_from,last_checked,supersedes,notes
rent-payment,LEASE_CLAUSE,NV,NRS 118A.210(1); NRS 118A.200(6),CITED,VERIFIED,2026-08-21,2026-09-24,,NV: Rent payable without demand at the agreed time and place; {{monthly_rent}} must be the single all-in figure (see rent-single-figure-nv). [...full trail in lease-clauses.csv notes]
due-at-signing,LEASE_CLAUSE,NV,NRS 118A.242(1); NRS 118A.240,CITED,VERIFIED,2026-08-21,2026-09-24,,NV: Prepaid last month's rent and pet/cleaning deposits count toward the 3-months'-rent security cap. [...full trail in lease-clauses.csv notes]
application-of-payments,LEASE_CLAUSE,NV,NRS 40.253(11); NRS 118A.150,CITED,VERIFIED,2026-08-21,2026-09-24,,NV: Lawful in NV only because of the preserved statutory cure right: after a pay-or-quit notice rent may not be refused for unpaid fees. Do not remove that sentence. [...full trail in lease-clauses.csv notes]
security-deposit-use,LEASE_CLAUSE,NV,NRS 118A.242(4),CITED,VERIFIED,2026-08-18,2026-09-24,,NV: Clause is narrower (more tenant-favourable) than 118A.242(4)'s cleaning allowance; lawful. [...full trail in lease-clauses.csv notes]
residential-use-only,LEASE_CLAUSE,NV,,GENERIC,VERIFIED,2026-08-21,2026-09-24,,"NV: Applies as written; no NV statute drives this clause (NV pass 2026-09-24, read against NRS 118A in full). [...full trail in lease-clauses.csv notes]"
existing-condition,LEASE_CLAUSE,NV,NRS 118A.200(3)(k),CITED,VERIFIED,2026-08-21,2026-09-24,,NV: NV also requires a signed inventory/condition record in the lease: move-in-inventory-nv. [...full trail in lease-clauses.csv notes]
permitted-occupants,LEASE_CLAUSE,NV,NRS 118A.200(3)(i),CITED,VERIFIED,2026-08-21,2026-09-24,,NV: Satisfies the mandatory occupant-listing lease subject. [...full trail in lease-clauses.csv notes]
no-disturbance,LEASE_CLAUSE,NV,NRS 118A.310(1)(g),CITED,VERIFIED,2026-08-21,2026-09-24,,NV: Tracks the statutory tenant duty. [...full trail in lease-clauses.csv notes]
smoking-policy,LEASE_CLAUSE,NV,NRS 202.2483(3)(g),CITED,VERIFIED,2026-08-21,2026-09-24,,NV: Private residences are outside the Clean Indoor Air Act; nothing located barring a landlord smoking ban. [...full trail in lease-clauses.csv notes]
utilities-responsibility,LEASE_CLAUSE,NV,NRS 118A.200(3)(j); NRS 118A.200(8),CITED,VERIFIED,2026-08-21,2026-09-24,,NV: Mandatory lease subject; a landlord-billed pass-through is lawful only under 118A.200(8). [...full trail in lease-clauses.csv notes]
utility-service-continuity,LEASE_CLAUSE,NV,,GENERIC,VERIFIED,2026-08-21,2026-09-24,,"NV: Applies as written; no NV statute drives this clause (NV pass 2026-09-24, read against NRS 118A in full). [...full trail in lease-clauses.csv notes]"
utility-payment-evidence,LEASE_CLAUSE,NV,,GENERIC,VERIFIED,2026-08-21,2026-09-24,,"NV: Applies as written; no NV statute drives this clause (NV pass 2026-09-24, read against NRS 118A in full). [...full trail in lease-clauses.csv notes]"
no-sublet-assign,LEASE_CLAUSE,NV,NRS 40.2514(1),CITED,VERIFIED,2026-08-21,2026-09-24,,NV: No sublet-consent standard in 118A; unauthorized assignment/sublet supports a 3-day no-cure notice. [...full trail in lease-clauses.csv notes]
no-alterations,LEASE_CLAUSE,NV,NRS 118A.325; NRS 118A.327,CITED,VERIFIED,2026-08-21,2026-09-24,,"NV: Protected flag/religious displays are not alterations; see flag-display-nv, religious-display-nv. [...full trail in lease-clauses.csv notes]"
joint-liability,LEASE_CLAUSE,NV,,GENERIC,VERIFIED,2026-08-21,2026-09-24,,"NV: Applies as written; no NV statute drives this clause (NV pass 2026-09-24, read against NRS 118A in full). [...full trail in lease-clauses.csv notes]"
utilities-paid-by-landlord,LEASE_CLAUSE,NV,NRS 118A.200(3)(d),CITED,VERIFIED,2026-08-21,2026-09-24,,"NV: Satisfies the mandatory services lease subject, with services-utilities-provided-ks-oh. [...full trail in lease-clauses.csv notes]"
appliances-included,LEASE_CLAUSE,NV,,GENERIC,VERIFIED,2026-08-21,2026-09-24,,"NV: Applies as written; no NV statute drives this clause (NV pass 2026-09-24, read against NRS 118A in full). [...full trail in lease-clauses.csv notes]"
landlord-maintenance,LEASE_CLAUSE,NV,NRS 118A.290; NRS 118A.350; NRS 118A.355; NRS 118A.360; NRS 118A.380,CITED,VERIFIED,2026-08-21,2026-09-24,,NV: Consistent with the habitability duty; written repair notice matches NV's remedy triggers. Shared CO;NV row (CO side is GENERIC in lease-clause-citations-CO.csv). [...full trail in lease-clauses.csv notes]
landlords-access,LEASE_CLAUSE,NV,NRS 118A.330(3)-(4),CITED,VERIFIED,2026-08-21,2026-09-24,,"NV: 24 hours' notice, reasonable times; no other right of access. [...full trail in lease-clauses.csv notes]"
default-by-tenant,LEASE_CLAUSE,NV,NRS 118A.430; NRS 118A.220(1)(c); NRS 40.2514; NRS 40.2516; NRS 40.252,CITED,VERIFIED,2026-08-20,2026-09-24,,"NV: Promises a cure for every non-rent breach, more than NV requires; prevailing-party fee sentence is the permitted form; notice periods cannot be shortened by contract. [...full trail in lease-clauses.csv notes]"
surrender-end-of-term,LEASE_CLAUSE,NV,NRS 118A.460,CITED,VERIFIED,2026-08-21,2026-09-24,,NV: Applies on its hedge; disposal mechanics in abandoned-property-nv. [...full trail in lease-clauses.csv notes]
early-termination,LEASE_CLAUSE,NV,NRS 118A.220(1)(e); NRS 118A.230; NRS 118A.340; NRS 118A.345; NRS 118.175,CITED,VERIFIED,2026-08-21,2026-09-24,,NV: Equal notice both ways satisfies 118A.220(1)(e); fee is lawful but exposed to unconscionability review; never pair the fee with a waiver of the mitigation duty. [...full trail in lease-clauses.csv notes]
notices,LEASE_CLAUSE,NV,NRS 118A.190(2)-(3); NRS 40.280,PARTIAL,VERIFIED,2026-08-21,2026-09-24,,NV: UNRESOLVED ambiguity: whether 118A.190(2)'s 'manner' imports 40.280(1)'s who-may-serve rule for ordinary 118A notices. Research pass found no authority. Clause defers to law either way; see edu-notice-service-nv. [...full trail in lease-clauses.csv notes]
governing-law,LEASE_CLAUSE,NV,,GENERIC,VERIFIED,2026-08-21,2026-09-24,,"NV: Applies as written; no NV statute drives this clause (NV pass 2026-09-24, read against NRS 118A in full). [...full trail in lease-clauses.csv notes]"
severability,LEASE_CLAUSE,NV,,GENERIC,VERIFIED,2026-08-21,2026-09-24,,"NV: Applies as written; no NV statute drives this clause (NV pass 2026-09-24, read against NRS 118A in full). [...full trail in lease-clauses.csv notes]"
entire-agreement,LEASE_CLAUSE,NV,NRS 118A.300; NRS 118A.320(2),CITED,VERIFIED,2026-08-21,2026-09-24,,"NV: Statutory mechanisms (rent-increase notice, rule changes) change terms without a signed writing; the specific mechanism controls. [...full trail in lease-clauses.csv notes]"
addendum-precedence,LEASE_CLAUSE,NV,,GENERIC,VERIFIED,2026-08-21,2026-09-24,,"NV: Applies as written; no NV statute drives this clause (NV pass 2026-09-24, read against NRS 118A in full). [...full trail in lease-clauses.csv notes]"
electronic-signatures,LEASE_CLAUSE,NV,,GENERIC,VERIFIED,2026-08-21,2026-09-24,,NV: Applies as written. 118A.200(1) requires signatures; electronic signature not read against NRS 719. [...full trail in lease-clauses.csv notes]
pet-insurance-requirement,LEASE_CLAUSE,NV,,GENERIC,VERIFIED,2026-08-21,2026-09-24,,"NV: Applies as written; no NV statute drives this clause (NV pass 2026-09-24, read against NRS 118A in full). [...full trail in lease-clauses.csv notes]"
assigned-parking-space,LEASE_CLAUSE,NV,,GENERIC,VERIFIED,2026-08-21,2026-09-24,,"NV: Applies as written; no NV statute drives this clause (NV pass 2026-09-24, read against NRS 118A in full). [...full trail in lease-clauses.csv notes]"
parking-vehicle-rules,LEASE_CLAUSE,NV,NRS 487.038; NRS 487.039,CITED,VERIFIED,2026-08-21,2026-09-24,,NV: EDITED 2026-09-24: 'in accordance with applicable law' added to towing. UNIFORM; propagated to all tagged state logs 2026-09-25. [...full trail in lease-clauses.csv notes]
keys,LEASE_CLAUSE,NV,NRS 118A.345(8)-(9); NRS 118A.332,CITED,VERIFIED,2026-08-21,2026-09-24,,NV: DV lock-change right and key-control duties live in their own rows. [...full trail in lease-clauses.csv notes]
