clause_id,content_type,state,citation,citation_status,verification_status,effective_from,last_checked,supersedes,notes
abandoned-property-mn,LEASE_CLAUSE,MN,Minn. Stat. § 504B.271; § 504B.365,CITED,VERIFIED,2026-09-03,2026-09-03,,"28-day disposal hold (from actual notice or when abandonment reasonably appears, whichever is LATER) plus a 14-day pre-sale notice, non-waivable (subd. 4) -- confirmed correct on a hard-number re-verification against revisor.mn.gov. Scope deliberately limited to the §504B.271 voluntary-abandonment route: a second, distinct route exists for property handled after a writ of recovery is executed (§504B.365, a 60-day clock via a landlord's lien if property is moved off-premises vs. this clause's track if left on-premises) -- that post-writ procedure is landlord procedure, not lease terms, and lives in edu-writ-execution-property-duties-mn instead. A companion gap this pass found and fixed: subd. 2's 24-hour/48-hour retake-on-demand duty and punitive-damages exposure were captured nowhere in the library -- see edu-abandoned-property-retake-duty-mn."
acceptable-payment-methods,LEASE_CLAUSE,MN,,GENERIC,VERIFIED,2026-08-23,2026-08-23,,"Generic contract-mechanics clause; MN whole-library audit (Minnesota session, 2026-08-23) found no MN-specific statutory language or conflict."
addendum-precedence,LEASE_CLAUSE,MN,,GENERIC,VERIFIED,2026-08-23,2026-08-23,,"Generic contract-mechanics clause; MN whole-library audit (Minnesota session, 2026-08-23) found no MN-specific statutory language or conflict."
appliances-included,LEASE_CLAUSE,MN,,GENERIC,VERIFIED,2026-08-23,2026-08-23,,"Generic contract-mechanics clause; MN whole-library audit (Minnesota session, 2026-08-23) found no MN-specific statutory language or conflict."
application-of-payments,LEASE_CLAUSE,MN,,GENERIC,VERIFIED,2026-08-23,2026-08-23,,"Generic contract-mechanics clause; MN whole-library audit (Minnesota session, 2026-08-23) found no MN-specific statutory language or conflict."
assigned-parking-space,LEASE_CLAUSE,MN,,GENERIC,VERIFIED,2026-08-23,2026-08-23,,"Generic contract-mechanics clause; MN whole-library audit (Minnesota session, 2026-08-23) found no MN-specific statutory language or conflict."
assistance-animal-accommodation-mn,LEASE_CLAUSE,MN,Minn. Stat. § 504B.113,CITED,VERIFIED,2026-09-03,2026-09-03,assistance-animal-accommodation,"Materially more detailed than the generic FHA-baseline clause: a closed list of licensed-professional documentation categories (subd. 2), a lease-disclosure duty for the fee-prohibition whenever the landlord charges any pet fee (subd. 3(b)), and an application-denial remedy for misrepresentation (subd. 4-5). PRODUCT IMPLICATION FLAGGED: subd. 3(b)'s disclosure becomes MANDATORY whenever the landlord charges a pet fee/deposit/rent -- confirmed the omission actually happened in pet-policy-mn until a later pass caught and fixed it (see pet-policy-mn). The builder does not yet force this clause to accompany a pet-fee-charging lease; a real REQUIRED-clause enforcement gap, not yet built."
carbon-monoxide-alarm-duty-mn,LEASE_CLAUSE,MN,Minn. Stat. § 299F.51,CITED,VERIFIED,2026-09-03,2026-09-03,,"Read-the-whole-section trap caught and resolved: subd. 1 requires an operational CO alarm in every dwelling (single-family AND multifamily), but subds. 2-3's owner/occupant duty allocation is textually written for MULTIFAMILY only, leaving single-family duty unallocated by the statute itself. Taylor's decision (2026-09-03): landlord bears EXISTENCE at commencement (operational alarm at move-in), tenant bears MAINTENANCE during occupancy -- mirrors the statute's own multifamily allocation rather than inventing a new one. Maintenance allocation is the OPPOSITE of Minnesota's own smoke-alarm statute (owner-maintained) -- see edu-alarm-duty-split-mn -- and materially broader than Nebraska's CO duty, which only triggers on new construction/sale/alteration."
cash-rent-receipt-mn,LEASE_CLAUSE,MN,Minn. Stat. § 504B.118,CITED,VERIFIED,2026-09-03,2026-09-03,,"Genuinely new topic -- no state in this library had a cash-rent-receipt row before this. A written receipt is required immediately for an in-person cash payment, or within three business days otherwise, and the duty reaches 'rent or other payments,' not rent alone. Recommended as a new named-topic checklist row for future states."
common-area-use,LEASE_CLAUSE,MN,,GENERIC,VERIFIED,2026-08-23,2026-08-23,,"Generic contract-mechanics clause; MN whole-library audit (Minnesota session, 2026-08-23) found no MN-specific statutory language or conflict."
