clause_id,content_type,state,citation,citation_status,verification_status,effective_from,last_checked,supersedes,notes
rent-payment,LEASE_CLAUSE,OH,,GENERIC,VERIFIED,2026-09-18,2026-09-18,,"Screened against Ohio primary text during the 2026-09-18 base-clause extend pass (52 active multi-state rows screened, this among the 38 with no conflict and no delimited note needed) -- generic mechanics, no OH-specific statutory language or number, no conflict identified with ch. 5321/1923/4112."
late-fee,LEASE_CLAUSE,OH,,GENERIC,VERIFIED,2026-09-18,2026-09-18,,"Screened against Ohio primary text during the 2026-09-18 base-clause extend pass (52 active multi-state rows screened, this among the 38 with no conflict and no delimited note needed) -- generic mechanics, no OH-specific statutory language or number, no conflict identified with ch. 5321/1923/4112."
security-deposit-use,LEASE_CLAUSE,OH,,GENERIC,VERIFIED,2026-09-18,2026-09-18,,"Screened against Ohio primary text during the 2026-09-18 base-clause extend pass (52 active multi-state rows screened, this among the 38 with no conflict and no delimited note needed) -- generic mechanics, no OH-specific statutory language or number, no conflict identified with ch. 5321/1923/4112."
residential-use-only,LEASE_CLAUSE,OH,,GENERIC,VERIFIED,2026-09-18,2026-09-18,,"Screened against Ohio primary text during the 2026-09-18 base-clause extend pass (52 active multi-state rows screened, this among the 38 with no conflict and no delimited note needed) -- generic mechanics, no OH-specific statutory language or number, no conflict identified with ch. 5321/1923/4112."
permitted-occupants,LEASE_CLAUSE,OH,,GENERIC,VERIFIED,2026-09-18,2026-09-18,,"Screened against Ohio primary text during the 2026-09-18 base-clause extend pass (52 active multi-state rows screened, this among the 38 with no conflict and no delimited note needed) -- generic mechanics, no OH-specific statutory language or number, no conflict identified with ch. 5321/1923/4112."
no-disturbance,LEASE_CLAUSE,OH,,GENERIC,VERIFIED,2026-09-18,2026-09-18,,"Screened against Ohio primary text during the 2026-09-18 base-clause extend pass (52 active multi-state rows screened, this among the 38 with no conflict and no delimited note needed) -- generic mechanics, no OH-specific statutory language or number, no conflict identified with ch. 5321/1923/4112."
smoking-policy,LEASE_CLAUSE,OH,,GENERIC,VERIFIED,2026-09-18,2026-09-18,,"Screened against Ohio primary text during the 2026-09-18 base-clause extend pass (52 active multi-state rows screened, this among the 38 with no conflict and no delimited note needed) -- generic mechanics, no OH-specific statutory language or number, no conflict identified with ch. 5321/1923/4112."
utilities-responsibility,LEASE_CLAUSE,OH,,GENERIC,VERIFIED,2026-09-18,2026-09-18,,"Screened against Ohio primary text during the 2026-09-18 base-clause extend pass (52 active multi-state rows screened, this among the 38 with no conflict and no delimited note needed) -- generic mechanics, no OH-specific statutory language or number, no conflict identified with ch. 5321/1923/4112."
utility-service-continuity,LEASE_CLAUSE,OH,,GENERIC,VERIFIED,2026-09-18,2026-09-18,,"Screened against Ohio primary text during the 2026-09-18 base-clause extend pass (52 active multi-state rows screened, this among the 38 with no conflict and no delimited note needed) -- generic mechanics, no OH-specific statutory language or number, no conflict identified with ch. 5321/1923/4112."
utility-payment-evidence,LEASE_CLAUSE,OH,,GENERIC,VERIFIED,2026-09-18,2026-09-18,,"Screened against Ohio primary text during the 2026-09-18 base-clause extend pass (52 active multi-state rows screened, this among the 38 with no conflict and no delimited note needed) -- generic mechanics, no OH-specific statutory language or number, no conflict identified with ch. 5321/1923/4112."
