id,group,title,states,is_active,supersedes,bodyText,rule_type,content_type,verification_status,notes,effective_from,last_checked,choice_group,is_default,topic_key
rent-payment,Rent & Payment,Rent Payment,CO;WY;KS;NE;MN;ND;SD;OH;NV,TRUE,,"Tenant shall pay Landlord monthly rent of {{monthly_rent}} (Monthly Rent) in advance on the due date specified in this Lease, without demand, deduction, or setoff, except as permitted by applicable law. If the due date falls on a weekend or legal holiday, rent is due on the next business day.",RECOMMENDED,LEASE_CLAUSE,VERIFIED,"CO added - verified this session (statute walk + full-library audit; content itself unchanged WY added 2026-08-21 (full-library cross-check pass): generic mechanics, no CO-specific statutory language or number, confirmed no conflict with WY findings from this project. | NE extended (session 2, whole-library generic-clause audit): generic mechanics, no NE-specific statutory language or number, confirmed no conflict with NE findings from this project. | MN extended (Minnesota session, whole-library audit): generic mechanics, already vetted against KS/NE's prohibited-lease-provisions statutes (the strictest bar found in this project to date) since this clause was already tagged KS;NE; no MN-specific statutory language or number identified in this session's statute walk that conflicts. No exculpatory/liability-waiver language present. | ND ADDED 2026-09-06 (ND re-audit, exhaustive generic-clause audit prompted by the checklist-to-CSV reconciliation screen). ND's ORIGINAL whole-library audit was written up in its log but largely never executed against the CSV -- ND was shipped 'complete' with 18 displayable LEASE_CLAUSE rows against 61-75 for CO/WY/KS/NE/MN. This row is generic boilerplate carrying no ND-specific statutory interaction; ND's ch. 47-16 was read in full from primary text this session and no conflict was identified. LIABILITY-LANGUAGE CHECK: North Dakota has NO enumerated prohibited-lease-provisions statute (confirmed this session -- § 47-16-02 is a maximum-term cap, and § 47-16-13.3 supplies only case-by-case unconscionability). The exculpation exposure that forced fixes to this clause family in KS and NE therefore does not arise for ND, same reasoning as the WY addendum. 5a.1 JUDGMENT: UNIFORM -- states field changed, clause TEXT unchanged, no re-review owed on existing tags. TENANCY-TYPE CAVEAT (Addendum K.2, ND finding): this clause says 'monthly rent'. ND §§ 47-16-19/20 contemplate lodgings let at a weekly rate (presumed one-week tenancy) and set three different default rent-payment regimes -- agricultural yearly, lodgings monthly, other rents quarterly. The clause is correct for a monthly tenancy and should NOT be used unmodified for a weekly or non-monthly ND tenancy. See edu-tenancy-type-notice-nd. | SD ADDED 2026-09-07 (SD re-audit, Tier A of the L.2 exhaustive generic-clause audit). SD displayed only 13 LEASE_CLAUSE rows against 60-75 for every other state; 46 generics had no SD tag and no SD override. Triaged per L.2, not bulk-extended. Tier A = boilerplate with no SD statutory interaction, or self-limiting text that defers to applicable law. S5a.1 JUDGMENT: adding a state tag changes `states` only - no bodyText, rule_type or content_type change - so no other tagged state's rendering is affected and NO propagation to other state logs is owed. State-driven, not uniform. CROSS-STATE FLAG raised from the CA pass 2026-09-19: this row says rent is payable 'without demand, DEDUCTION, OR SETOFF'. CA had to drop that language because Civ. Code s1942 gives tenants a statutory repair-and-deduct right a lease cannot waive (see rent-payment-ca). Most states have some repair-and-deduct or rent-withholding statute, so the same wording may purport to waive a non-waivable right in several of the other eight. NOT adjudicated here - each state's statute must be read before changing their text. Flagged for the cross-state review. CROSS-STATE FLAG RESOLVED BY DRAFTING 2026-09-19. The flag: 'without demand, deduction, or setoff' can purport to waive a statutory right. Adjudicated from the library's OWN verified per-state findings rather than new statute reading - ND (s47-16-13) and SD (s43-32-9) have statutory REPAIR-AND-DEDUCT; MN has court-administered RENT ESCROW under s504B.385 whose rights 'may not be waived or modified' (s504B.465); OH has escrow under s5321.07. CO, WY, KS and NE have neither repair-and-deduct nor escrow, so the language was already safe there. Fix applied: the words 'except as permitted by applicable law' added, which is protective in all eight states and required no state-specific rewrite - the same approach that let addendum-precedence absorb its CA override. CA keeps its own row (rent-payment-ca) because that one also names Civ. Code ss1941-1942 expressly. | NV: Read in full 2026-09-24 against NRS 118A (revisor text Rev. 4/15/2026, 2025 session incorporated). Applies as written. NRS 118A.210(1) rent payable without demand or notice at the agreed time and place; setoff hedge covers 118A.360/.380 deduct remedies. DEPENDENCY: {{monthly_rent}} must be the single all-in figure required by 118A.200(6) (2025) - see rent-single-figure-nv. Shutdown exception (118A.310(2)) operates by law; clause does not purport to waive it.",2026-08-21,2026-09-24,,,rent-payment
late-fee,Rent & Payment,Late Fee,CO;WY;MN;ND;SD;OH,TRUE,,"If Tenant fails to pay Monthly Rent in full within {{late_fee_grace_days}} days after it is due, a late fee of {{late_fee_amount}} will be assessed. Acceptance of a late payment does not waive Landlord's right to require full payment of Rent on the date it is due or to pursue any other remedy available under this Lease.",CONSTRAINED,LEASE_CLAUSE,VERIFIED,"CO added - verified this session (statute walk + full-library audit; content itself EDITED this session WY added 2026-08-21 (full-library cross-check pass): generic mechanics, no CO-specific statutory language or number, confirmed no conflict with WY findings from this project. | NE extended (session 6): the non-waiver sentence isn't prohibited in Nebraska the way the exculpation clauses were in Kansas — it's just insufficient on its own to satisfy §76-1433's after-the-breach requirement. No override needed; see edu-late-rent-reservation-fix-ne for the landlord-facing explanation of why lease text alone doesn't solve this and what actually does. | MN extended (Minnesota session, whole-library audit): generic non-waiver mechanics compatible with Minn. Stat. § 504B.177(a) — statute requires the written agreement to specify when the fee is imposed, which the {{late_fee_grace_days}} mechanic satisfies. Paired with late-fee-limit-mn for the 8% cap. | NE REMOVED 2026-08-31 (NE re-audit) — superseded by late-fee-ne. §76-1433 read verbatim from nebraskalegislature.gov. This clause's phrase 'or to pursue any other remedy available under this Lease' is UNQUALIFIED and therefore purports to preserve termination for the very breach §76-1433 says is waived. §5a.1 JUDGMENT — STATE-DRIVEN, not uniform: the fix was deliberately NOT propagated to CO, WY, or MN. A non-waiver clause preserving termination after accepting late rent is genuinely valuable where contract can preserve it, and none of those three has been shown to carry Nebraska's express statutory timing rule. Narrowing all four states would surrender real protection in three of them to solve a problem only one has. Structurally consistent with Kansas, which also took its own late-fee-ks override. | ND ADDED 2026-09-06 (ND re-audit, exhaustive generic-clause audit prompted by the checklist-to-CSV reconciliation screen). ND's ORIGINAL whole-library audit was written up in its log but largely never executed against the CSV -- ND was shipped 'complete' with 18 displayable LEASE_CLAUSE rows against 61-75 for CO/WY/KS/NE/MN. This row is generic boilerplate carrying no ND-specific statutory interaction; ND's ch. 47-16 was read in full from primary text this session and no conflict was identified. LIABILITY-LANGUAGE CHECK: North Dakota has NO enumerated prohibited-lease-provisions statute (confirmed this session -- § 47-16-02 is a maximum-term cap, and § 47-16-13.3 supplies only case-by-case unconscionability). The exculpation exposure that forced fixes to this clause family in KS and NE therefore does not arise for ND, same reasoning as the WY addendum. 5a.1 JUDGMENT: UNIFORM -- states field changed, clause TEXT unchanged, no re-review owed on existing tags. ND has NO statutory late-fee cap (confirmed: full read of ch. 47-16 contains no late-fee provision), so no figure conflict arises. Same non-outcome as WY. | SD ADDED 2026-09-07 (SD re-audit, Tier A of the L.2 exhaustive generic-clause audit). SD displayed only 13 LEASE_CLAUSE rows against 60-75 for every other state; 46 generics had no SD tag and no SD override. Triaged per L.2, not bulk-extended. Tier A = boilerplate with no SD statutory interaction, or self-limiting text that defers to applicable law. S5a.1 JUDGMENT: adding a state tag changes `states` only - no bodyText, rule_type or content_type change - so no other tagged state's rendering is affected and NO propagation to other state logs is owed. State-driven, not uniform. SD sets no statutory late-fee cap and no mandatory grace period, so the landlord-set fields create no conflict. The non-waiver sentence is also safe: SD has no waiver-by-acceptance rule of the NE S76-1433 / KS type. MATERIAL GAP CLOSED: SD previously had NO late-fee clause of any kind, and because SD law leaves late fees entirely to the lease, an SD lease generated without this clause could not charge a late fee at all.",2026-08-21,2026-09-18,,,late-fee
returned-payments,Rent & Payment,Returned Checks / Dishonored Payments,CO;WY;KS;NE;MN;ND;SD;OH,TRUE,,"If any payment of Rent is returned for insufficient funds or otherwise fails, Landlord may require that the payment be replaced by a cashier's check, certified check, or money order, and may charge Tenant a fee associated with the failed payment, not to exceed the maximum amount permitted by applicable law. If more than two of Tenant's payments during the Term are returned for insufficient funds, Landlord may require all future payments of Rent be made by cashier's check, certified check, or money order.",RECOMMENDED,LEASE_CLAUSE,VERIFIED,"CO added - verified this session (statute walk + full-library audit; content itself unchanged WY added 2026-08-21 (full-library cross-check pass): generic mechanics, no CO-specific statutory language or number, confirmed no conflict with WY findings from this project. | NE extended (session 2, whole-library generic-clause audit): generic mechanics, no NE-specific statutory language or number, confirmed no conflict with NE findings from this project. | MN extended (Minnesota session, whole-library audit): generic mechanics, already vetted against KS/NE's prohibited-lease-provisions statutes (the strictest bar found in this project to date) since this clause was already tagged KS;NE; no MN-specific statutory language or number identified in this session's statute walk that conflicts. No exculpatory/liability-waiver language present. | ND extended (North Dakota session 1): confirmed via enacted text of N.D.C.C. § 47-16-20.1 (provided directly by Taylor) that ND's 2025 payment-fee statute governs a different topic (fee for accepting cash/check/money order as a payment method) than returned/NSF payment fees. No conflict with this clause's generic mechanics; the actual NSF cap lives in Title 6 general banking law (§6-08-16), not landlord-tenant law, and isn't restated here. | KS CHECKED 2026-08-30 (v59 canvass): K.S.A. 60-2610(g) caps the service charge on a dishonored check at $30. This clause's unqualified 'any fee associated with the failed payment' was flagged as a possible conflict, since unlike landlords-access and holdover it carries NO self-limiting 'to the extent permitted by applicable law' language. TAYLOR'S DECISION: leave as is, no KS override. Reasoning: 60-2610(g) caps the charge the drawee/vendor imposes, and under this clause the landlord recovers that charge as a pass-through loss rather than setting its own fee, so the effective ceiling is $30 either way. See edu-nsf-fee-cap-ks. | Also confirmed for KS: no payment-method fee ban (no analog to N.D.C.C. 47-16-20.1); Kansas does not restrict charging for particular payment methods. | MN re-audit 2026-09-03: MN's returned-check fee cap identified (Minn. Stat. §604.113, $30 service charge) — see edu-returned-check-fee-cap-mn. NO CLAUSE EDIT MADE and no MN override created: this clause does not hardcode a dollar figure, so it does not conflict with the cap, matching the disposition WY reached for the same situation. §5a.1 JUDGMENT: the finding is STATE-DRIVEN (each state's bad-check statute differs — WY $30, MN $30, KS/NE/ND/SD各 their own), but requires no shared-clause change because the clause is figure-agnostic. Flagged instead: the clause's phrase 'may charge Tenant any fee associated with the failed payment' is unbounded on its face and could read as authorizing more than the statutory cap in every tagged state. NOT edited here — it is tagged CO;WY;KS;NE;MN;ND and a rewording triggers §5a.1 across six states. Recommend a scoped shared-clause pass. | SHARED-CLAUSE PASS 2026-09-03 (§5a.1). EDIT: 'may charge Tenant any fee associated with the failed payment' → 'a fee ... not to exceed the maximum amount permitted by applicable law.' §5a.1 JUDGMENT: **UNIFORM** — the self-limiting formulation is correct in every tagged state regardless of each state's specific figure; safe to inherit, no per-state override needed. TRIGGER: every one of the six tagged states has a cap and a row recording it (CO nsf-fee-limit-co; WY edu-returned-check-fee-cap-wy; KS edu-nsf-fee-cap-ks; NE edu-bad-check-restitution-vs-nsf-fee-ne; ND edu-returned-check-fee-cap-nd; MN edu-returned-check-fee-cap-mn, $30 under §604.113). The unbounded word 'any' was therefore wrong in all six simultaneously — a clause that promised landlords something no tagged state allows. | SD ADDED 2026-09-07 (SD re-audit, Tier A of the L.2 exhaustive generic-clause audit). SD displayed only 13 LEASE_CLAUSE rows against 60-75 for every other state; 46 generics had no SD tag and no SD override. Triaged per L.2, not bulk-extended. Tier A = boilerplate with no SD statutory interaction, or self-limiting text that defers to applicable law. S5a.1 JUDGMENT: adding a state tag changes `states` only - no bodyText, rule_type or content_type change - so no other tagged state's rendering is affected and NO propagation to other state logs is owed. State-driven, not uniform. Self-limiting - 'not to exceed the maximum amount permitted by applicable law' - so it survived the 57A-3-421 amendment from $40 to $60 without carrying a hardcoded figure. The clause that deferred held; the education row that hardcoded broke. | OH: no statutory cap. §1319.16's $30-or-10% ceiling binds a COLLECTION AGENCY (§1319.12(A)(2) excludes a landlord collecting its own account) and does not apply. 'Maximum permitted by applicable law' therefore resolves to no cap — state an actual amount. §5321.14 unconscionability is the only ceiling.",2026-08-21,2026-09-18,,,returned-payments
due-at-signing,Rent & Payment,Amounts Due Upfront,CO;WY;KS;NE;MN;ND;SD;OH;NV,TRUE,,"Tenant will pay Landlord the following amounts, at the time specified for each: [specify what is due and when here, e.g. first month's Monthly Rent ({{monthly_rent}}) due at signing; Security Deposit ({{security_deposit}}) due at signing; Pet Deposit ({{pet_deposit}}) due at signing; last month's Monthly Rent due on the Start Date]. These amounts are due in addition to, and are not credited against, Rent due for any other month of the Term.",RECOMMENDED,LEASE_CLAUSE,VERIFIED,"CO added - verified this session (statute walk + full-library audit; content itself unchanged WY added 2026-08-21 (full-library cross-check pass): generic mechanics, no CO-specific statutory language or number, confirmed no conflict with WY findings from this project. | NE extended (session 2, whole-library generic-clause audit): generic mechanics, no NE-specific statutory language or number, confirmed no conflict with NE findings from this project. | MN extended (Minnesota session, whole-library audit): generic mechanics, already vetted against KS/NE's prohibited-lease-provisions statutes (the strictest bar found in this project to date) since this clause was already tagged KS;NE; no MN-specific statutory language or number identified in this session's statute walk that conflicts. No exculpatory/liability-waiver language present. | ND ADDED 2026-09-06 (ND re-audit, exhaustive generic-clause audit prompted by the checklist-to-CSV reconciliation screen). ND's ORIGINAL whole-library audit was written up in its log but largely never executed against the CSV -- ND was shipped 'complete' with 18 displayable LEASE_CLAUSE rows against 61-75 for CO/WY/KS/NE/MN. This row is generic boilerplate carrying no ND-specific statutory interaction; ND's ch. 47-16 was read in full from primary text this session and no conflict was identified. LIABILITY-LANGUAGE CHECK: North Dakota has NO enumerated prohibited-lease-provisions statute (confirmed this session -- § 47-16-02 is a maximum-term cap, and § 47-16-13.3 supplies only case-by-case unconscionability). The exculpation exposure that forced fixes to this clause family in KS and NE therefore does not arise for ND, same reasoning as the WY addendum. 5a.1 JUDGMENT: UNIFORM -- states field changed, clause TEXT unchanged, no re-review owed on existing tags. | SD ADDED 2026-09-07 (SD re-audit, Tier A of the L.2 exhaustive generic-clause audit). SD displayed only 13 LEASE_CLAUSE rows against 60-75 for every other state; 46 generics had no SD tag and no SD override. Triaged per L.2, not bulk-extended. Tier A = boilerplate with no SD statutory interaction, or self-limiting text that defers to applicable law. S5a.1 JUDGMENT: adding a state tag changes `states` only - no bodyText, rule_type or content_type change - so no other tagged state's rendering is affected and NO propagation to other state logs is owed. State-driven, not uniform. | OH: §5321.01(E) defines a security deposit as ANY deposit of money or property to secure performance — prepaid last month's rent likely falls inside §5321.16 (interest under (A), return/itemisation under (B)). Interpretive; flagged. | NV: Read in full 2026-09-24 against NRS 118A (revisor text Rev. 4/15/2026, 2025 session incorporated). Applies as written. Any prepaid last month's rent and any pet or cleaning deposit count toward the 3-months'-rent cap on total security (118A.242(1), 118A.240) - cap stated in security-deposit-cap-nv.",2026-08-21,2026-09-24,,,due-at-signing
application-of-payments,Rent & Payment,Application of Payments,CO;WY;KS;NE;MN;ND;SD;OH;CA;NV,TRUE,,"All payments received shall be applied first to outstanding fees, charges, costs, utilities, or other amounts due under this Lease, and then to base rent, unless otherwise required by applicable law. Nothing in this provision limits any statutory right Tenant may have to cure nonpayment of base rent.",CONSTRAINED,LEASE_CLAUSE,VERIFIED,"CO added - verified this session (statute walk + full-library audit; content itself unchanged WY added 2026-08-21 (full-library cross-check pass): generic mechanics, no CO-specific statutory language or number, confirmed no conflict with WY findings from this project. | NE extended (session 2, whole-library generic-clause audit): generic mechanics, no NE-specific statutory language or number, confirmed no conflict with NE findings from this project. | MN extended (Minnesota session, whole-library audit): generic mechanics, already vetted against KS/NE's prohibited-lease-provisions statutes (the strictest bar found in this project to date) since this clause was already tagged KS;NE; no MN-specific statutory language or number identified in this session's statute walk that conflicts. No exculpatory/liability-waiver language present. | ND ADDED 2026-09-06 (ND re-audit, exhaustive generic-clause audit prompted by the checklist-to-CSV reconciliation screen). ND's ORIGINAL whole-library audit was written up in its log but largely never executed against the CSV -- ND was shipped 'complete' with 18 displayable LEASE_CLAUSE rows against 61-75 for CO/WY/KS/NE/MN. This row is generic boilerplate carrying no ND-specific statutory interaction; ND's ch. 47-16 was read in full from primary text this session and no conflict was identified. LIABILITY-LANGUAGE CHECK: North Dakota has NO enumerated prohibited-lease-provisions statute (confirmed this session -- § 47-16-02 is a maximum-term cap, and § 47-16-13.3 supplies only case-by-case unconscionability). The exculpation exposure that forced fixes to this clause family in KS and NE therefore does not arise for ND, same reasoning as the WY addendum. 5a.1 JUDGMENT: UNIFORM -- states field changed, clause TEXT unchanged, no re-review owed on existing tags. | SD ADDED 2026-09-07 (SD re-audit, Tier A of the L.2 exhaustive generic-clause audit). SD displayed only 13 LEASE_CLAUSE rows against 60-75 for every other state; 46 generics had no SD tag and no SD override. Triaged per L.2, not bulk-extended. Tier A = boilerplate with no SD statutory interaction, or self-limiting text that defers to applicable law. S5a.1 JUDGMENT: adding a state tag changes `states` only - no bodyText, rule_type or content_type change - so no other tagged state's rendering is affected and NO propagation to other state logs is owed. State-driven, not uniform. NOTE: the closing savings sentence references 'Tenant's statutory right to cure nonpayment of base rent', a right SD does not have since the 2024 repeal of SDCL 21-16-2. INERT in SD, not false - it saves a right that does not exist rather than asserting one does. Flagged as an override candidate if a reader could be misled. | OH: the clause's 'Tenant's statutory right to cure nonpayment' has no Ohio referent — §1923.04 is a 3-day notice to LEAVE, not a pay-or-quit, and Ohio gives no statutory cure right. Sentence is inoperative here; review wording before OH ships. | CORRECTION 2026-09-19: the closing sentence originally read 'Nothing in this provision limits Tenant's statutory right to cure nonpayment of base rent,' asserting a cure right exists. It doesn't in every tagged state -- Ohio has no statutory right to cure nonpayment (R.C. 1923.04 is a notice to leave, not a pay-or-quit), and CO's own citation note had already separately flagged that South Dakota lacks one too ('references a tenant cure right SD does not have') without the sentence ever being fixed. Softened to 'any statutory right Tenant may have' -- self-limiting, same pattern as `holdover`'s 'maximum amount permitted by applicable law' fix -- so the sentence is accurate everywhere regardless of whether a given state has such a right, with no state-specific override needed. Uniform fix, not state-driven; applies to all 8 tagged states equally and needs no per-state re-verification, since it only removes an assertion, adding no new claim. CA: extended to California 2026-09-19 after re-screen against the full CA pass (the extend manifest had deferred tagging until the blocked set was resolved, and the step was then missed). Fees-first ordering is lawful in CA only because of this row's 'unless otherwise required by applicable law' hedge: Civ. Code s1954.07(g)(2) bars applying any amount tendered toward rent to the RENT-REPORTING FEE. The payment engine must exclude that fee from fees-first allocation. Also: a CA three-day notice may demand only RENT (CCP s1161(2)), so fees-first allocation must never be used to manufacture a rent default. | NV: Read in full 2026-09-24 against NRS 118A (revisor text Rev. 4/15/2026, 2025 session incorporated). Applies as written on its hedge. PROVISIONAL: NRS Ch. 40 summary-eviction provisions (pay-or-quit mechanics) not yet read; re-check when supplied. Note NV defines rent to include late fees (118A.150). | NV (text batch 2, 2026-09-24): PROVISIONAL CLEARED. NRS 40.253(11): after a pay-or-quit notice the landlord may not refuse rent because collection fees, attorney's fees, other non-rent costs, a reasonable late or dishonored-check charge, or a deposit are unpaid. A fees-first allocation that left the rent itself unpaid would collide with that; the row's own sentence preserving the tenant's statutory right to cure nonpayment of rent is what keeps it lawful in NV - do not remove it.",2026-08-21,2026-09-24,,,application-of-payments
late-fee-limit-co,Rent & Payment,Late Fee Limit,CO,TRUE,,"Any late fee assessed under this Lease will not exceed the greater of $50.00 or 5% of the amount of Rent past due, and no late fee will be assessed until at least 7 days after Rent is due, as required by Colorado law. Landlord will provide Tenant written notice of any late fee within 180 days after the date the related Rent payment was due.",CONSTRAINED,LEASE_CLAUSE,VERIFIED,"CO: CITED — C.R.S. § 38-12-105(1)(a) [7-day floor], (1)(b) [$50/5% cap], (1)(c) [must be disclosed in the rental agreement], (1)(j) [180-day written notice requirement], (7) [late fee distinct from rent, cross-refs § 13-40-104(1)(d)]. RESOLVED 2026-09-13. $50/5%/7-day figures CONFIRMED CURRENT and always have been in this section - § 38-12-105 was created whole by SB 21-173 (ch. 349, L. 2021, eff. 2021-10-01); no subsequent raise. (Correcting the prior round's note: the $25/5% figure traced to a committee amendment on the unrelated 2020 bill HB20-1141, not this section's own history - that was a false lead.) Real content gap found and fixed: the clause omitted (1)(j)'s requirement that written notice of the late fee be given within 180 days after the due date - added to bodyText as the landlord's own commitment. (1)(c)'s in-agreement-disclosure requirement is why this clause needs to exist at all (already satisfied by its existence, no further action). (7)'s late-fee-distinct-from-rent rule is already independently reflected in default-by-tenant's carve-out. (Restored 2026-09-25 from lease-clause-citations-CO.csv, which still holds the same data.)",2026-08-18,2026-09-13,,,late-fee-limit
nsf-fee-limit-co,Rent & Payment,NSF Fee Limit,CO,TRUE,,"If any payment under this Lease is dishonored or returned unpaid, Tenant will be responsible for a reasonable returned-payment charge, consistent with Colorado's dishonored-instrument statute (C.R.S. 13-21-109), plus any actual bank charges Landlord incurs. This charge is not Rent, is not subject to any late fee applicable to Rent, and will not be characterized as Rent for purposes of any remedy available for nonpayment of Rent.",CONSTRAINED,LEASE_CLAUSE,VERIFIED,"CO: CITED — C.R.S. § 13-21-109. Corrected 2026-08-27 re-audit from a wrong citation (13-40-107(4), the notice-to-quit statute) and a fabricated $20 flat cap; reframed as a reasonable, non-Rent charge under the dishonored-instrument statute. Re-confirmed 2026-09-13 (Claude Browser follow-up): still no statutory $20 CO landlord NSF cap found anywhere; the conservative self-limiting rewrite remains the defensible position. (Restored 2026-09-25 from lease-clause-citations-CO.csv, which still holds the same data.)",2026-08-20,2026-08-27,,,nsf-fee-limit
late-fee-limit-ny,Rent & Payment,Late Fee Limit,NY,FALSE,,"Any late fee assessed under this Lease will not exceed the lesser of $50.00 or 5% of Monthly Rent, and no late fee will be assessed until at least 5 days after Rent is due, as required by New York law.",CONSTRAINED,LEASE_CLAUSE,UNVERIFIED,"UNCHANGED - pre-existing tag from before this project, not touched this session",,2026-09-03,,,late-fee-limit-ny
late-fee-limit-md,Rent & Payment,Late Fee Limit,MD,FALSE,,"Any late fee assessed under this Lease will not exceed 5% of the amount of Rent past due, as required by Maryland law.",CONSTRAINED,LEASE_CLAUSE,UNVERIFIED,"UNCHANGED - pre-existing tag from before this project, not touched this session",,2026-09-03,,,late-fee-limit-md
late-fee-limit-mn,Rent & Payment,Late Fee Limit,MN,FALSE,,"Any late fee assessed under this Lease will not exceed 8% of the overdue payment, and must be agreed to in writing by both parties, as required by Minnesota law.",CONSTRAINED,LEASE_CLAUSE,VERIFIED,"MN verified (Minnesota session, statute walk): confirmed against Minn. Stat. § 504B.177(a) directly from revisor.mn.gov. Cap is 8% of the overdue rent payment; written agreement required specifying when the fee applies. Text as originally tagged was already accurate.",2026-08-23,2026-08-23,,,late-fee-limit
