clause_id,content_type,state,citation,citation_status,verification_status,effective_from,last_checked,supersedes,notes
abandoned-property-sd,LEASE_CLAUSE,SD,"SDCL 43-32-25, 43-32-26",CITED,VERIFIED,2026-08-23,2026-08-23,,"Two-track architecture matching North Dakota's shape but with different numbers: property valued at $500 or less (notably lower than ND's $2,500 line), left after the tenant has quit, is presumed abandoned; higher-value property must be stored, with the landlord holding a lien limited to reasonable handling/storage costs, and may be treated as abandoned after 30+ days of storage. Both tracks use the same 'tenant has quit the premises' trigger -- unlike ND's §47-16-30.1, South Dakota has no separate written-notice-of-vacatur requirement."
acceptable-payment-methods,LEASE_CLAUSE,SD,,GENERIC,VERIFIED,2026-08-23,2026-09-07,,"Generic contract-mechanics clause; SD re-audit (2026-09-07, Tier A of the L.2 exhaustive generic-clause audit) found no SD-specific statutory interaction, or self-limiting text that already defers to applicable law."
addendum-precedence,LEASE_CLAUSE,SD,,GENERIC,VERIFIED,2026-08-23,2026-09-07,,"Generic contract-mechanics clause; SD re-audit (2026-09-07, Tier A of the L.2 exhaustive generic-clause audit) found no SD-specific statutory interaction, or self-limiting text that already defers to applicable law."
appliances-included,LEASE_CLAUSE,SD,,GENERIC,VERIFIED,2026-08-23,2026-09-07,,"Generic contract-mechanics clause; SD re-audit (2026-09-07, Tier A of the L.2 exhaustive generic-clause audit) found no SD-specific statutory interaction, or self-limiting text that already defers to applicable law."
application-of-payments,LEASE_CLAUSE,SD,,GENERIC,VERIFIED,2026-08-23,2026-09-19,,"Generic contract-mechanics clause; SD re-audit (2026-09-07, Tier A of the L.2 exhaustive generic-clause audit) found no SD-specific statutory interaction, or self-limiting text that already defers to applicable law. ADDENDUM 2026-09-19 (Ohio citation-extraction pass): this row's own 2026-09-07 note already knew SD's cure-right gap existed (SDCL 21-16-2's notice-to-quit requirement was repealed in 2024, and this clause's closing sentence references a cure right SD does not have) but left the shared bodyText unedited; CO's own citation note independently flagged the same SD gap and it also went unfixed. Closed at the source during Ohio's pass: the shared clause across all 8 states was softened from asserting 'Tenant's statutory right to cure' to 'any statutory right Tenant may have,' accurate regardless of whether a given state has one. No SD-specific action needed -- this is a uniform fix, not a state-driven one."
assigned-parking-space,LEASE_CLAUSE,SD,,GENERIC,VERIFIED,2026-08-23,2026-09-07,,"Generic contract-mechanics clause; SD re-audit (2026-09-07, Tier A of the L.2 exhaustive generic-clause audit) found no SD-specific statutory interaction, or self-limiting text that already defers to applicable law."
assistance-animal-accommodation-sd,LEASE_CLAUSE,SD,SDCL 43-32-33 through 43-32-36,CITED,VERIFIED,2026-09-07,2026-09-07,assistance-animal-accommodation,"The most detailed state found so far in this project on the anti-letter-mill documentation-source requirement (matches North Dakota's §47-16-07.5/07.6 pattern), and the only state with an explicit statutory dollar cap ($1,000) on the fraud-claim damage fee rather than leaving it to general damages law. Two further SD provisions bear on this topic but sit outside ch. 43-32 and were cross-referenced rather than folded in: SDCL 20-13-23.4 makes it a Class 2 misdemeanor for a landlord to prohibit a service animal for a physically disabled, blind, or deaf tenant (see edu-service-animal-prohibition-criminal-penalty-sd), and SDCL 20-13-23.7 imposes a state-level good-faith reasonable-accommodation duty in housing (see edu-reasonable-accommodation-duty-sd)."
common-area-use,LEASE_CLAUSE,SD,,GENERIC,VERIFIED,2026-08-23,2026-09-07,,"Generic contract-mechanics clause; SD re-audit (2026-09-07, Tier A of the L.2 exhaustive generic-clause audit) found no SD-specific statutory interaction, or self-limiting text that already defers to applicable law."
default-by-tenant-sd,LEASE_CLAUSE,SD,"SDCL Title 21-16 (SDCL 21-16-1(4), 21-16-1(7)); SDCL 21-16-2 (repealed, SL 2024 ch 75 § 1)",CITED,VERIFIED,2026-09-07,2026-09-07,default-by-tenant,"Genuine architecture difference from every other state's default-by-tenant row: 2024's repeal of SDCL 21-16-2 means South Dakota has no state-mandated notice-and-cure window before a nonpayment eviction action at all -- the nonpayment FED ground (21-16-1(4)) requires only that rent be unpaid for 3 days past due, and the lease-violation ground (21-16-1(7)) requires the lease ITSELF to specify that a violation terminates the tenancy, with no independent statutory definition of which violations qualify. Superseded the generic (which assumes a state-imposed cure period exists) rather than extending it, since 'the time period specified by applicable law' would be actively misleading where applicable law specifies none. TWO REAL DRAFTING ERRORS CAUGHT AND FIXED ON TAYLOR'S OWN REVIEW: (1) an earlier draft narrowed default grounds to only the three items literally named in a statute section title, silently dropping the library's standard 'any other obligation under this Lease' catch-all that every other state's version of this clause retains -- restored, since nothing in SD law actually limits what a landlord may define as a lease obligation; (2) a later draft referenced a dangling, nonexistent 'Notice and Opportunity to Cure' lease section -- see notice-and-cure-sd for why that mechanism was pulled from lease text entirely rather than fixed in place."
due-at-signing,LEASE_CLAUSE,SD,,GENERIC,VERIFIED,2026-08-23,2026-09-07,,"Generic contract-mechanics clause; SD re-audit (2026-09-07, Tier A of the L.2 exhaustive generic-clause audit) found no SD-specific statutory interaction, or self-limiting text that already defers to applicable law."
