clause_id,content_type,state,citation,citation_status,verification_status,effective_from,last_checked,supersedes,notes
rent-payment,LEASE_CLAUSE,CO,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic contract mechanics; no CO-specific statutory language identified in CO's original full-library audit.
late-fee,LEASE_CLAUSE,CO,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic non-waiver mechanics; CO's own late-fee cap lives separately in late-fee-limit-co.
returned-payments,LEASE_CLAUSE,CO,,GENERIC,VERIFIED,2026-08-21,2026-09-03,,"Generic mechanics, self-limiting to 'the maximum amount permitted by applicable law' (reworded 2026-09-03 shared-clause pass); CO's own NSF cap lives separately in nsf-fee-limit-co."
due-at-signing,LEASE_CLAUSE,CO,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,"Generic contract mechanics, no CO-specific statutory language."
application-of-payments,LEASE_CLAUSE,CO,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,Generic mechanics; closing sentence references a tenant cure right SD does not have but that is not a CO-specific finding.
late-fee-limit-co,LEASE_CLAUSE,CO,"C.R.S. § 38-12-105(1)(a) [7-day floor], (1)(b) [$50/5% cap], (1)(c) [must be disclosed in the rental agreement], (1)(j) [180-day written notice requirement], (7) [late fee distinct from rent, cross-refs § 13-40-104(1)(d)]",CITED,VERIFIED,2026-08-18,2026-09-13,,"RESOLVED 2026-09-13. $50/5%/7-day figures CONFIRMED CURRENT and always have been in this section - § 38-12-105 was created whole by SB 21-173 (ch. 349, L. 2021, eff. 2021-10-01); no subsequent raise. (Correcting the prior round's note: the $25/5% figure traced to a committee amendment on the unrelated 2020 bill HB20-1141, not this section's own history - that was a false lead.) Real content gap found and fixed: the clause omitted (1)(j)'s requirement that written notice of the late fee be given within 180 days after the due date - added to bodyText as the landlord's own commitment. (1)(c)'s in-agreement-disclosure requirement is why this clause needs to exist at all (already satisfied by its existence, no further action). (7)'s late-fee-distinct-from-rent rule is already independently reflected in default-by-tenant's carve-out."
nsf-fee-limit-co,LEASE_CLAUSE,CO,C.R.S. § 13-21-109,CITED,VERIFIED,2026-08-20,2026-08-27,,"Corrected 2026-08-27 re-audit from a wrong citation (13-40-107(4), the notice-to-quit statute) and a fabricated $20 flat cap; reframed as a reasonable, non-Rent charge under the dishonored-instrument statute. Re-confirmed 2026-09-13 (Claude Browser follow-up): still no statutory $20 CO landlord NSF cap found anywhere; the conservative self-limiting rewrite remains the defensible position."
subsidy-late-fee-co,LEASE_CLAUSE,CO,C.R.S. § 38-12-105(1)(f),CITED,VERIFIED,2026-08-18,2026-09-13,,"RESOLVED 2026-09-13: real rule is a total prohibition on charging a late fee on the subsidy-covered portion of rent, not a $20 cap. Verbatim: a landlord shall not 'Impose a late fee on a tenant... for the late payment or nonpayment of any portion of the rent that a rent subsidy provider... is responsible for paying.' The stray $20 likely traces to a $20 PENALTY figure in introduced SB 21-173 (now $50 under § 38-12-105(3)) - a penalty, not a fee cap, mistranscribed. bodyText rewritten to state the actual prohibition; verified against the shipped clauseTemplates.js."
rent-increase-notice-co,LEASE_CLAUSE,CO,C.R.S. § 38-12-701(2); § 38-12-702,CITED,VERIFIED,2026-08-18,2026-08-27,,38-12-701(2)'s 60-day default notice applies only absent a written agreement; 38-12-702 (once-per-12-months cap) applies regardless and is restated.
source-of-income-statement-co,LEASE_CLAUSE,CO,C.R.S. § 38-12-801(2.5); § 24-34-502(1),CITED,VERIFIED,2026-08-18,2026-08-27,,"Required lease statement, exempt for landlords with 5 or fewer single-family rentals / 5 or fewer total units. See edu-source-of-income-exemption-trap-co for a related exemption mismatch."
security-deposit-use,LEASE_CLAUSE,CO,"C.R.S. § 38-12-103(1)(a), (1)(b), (7)(b); ""normal wear and tear"" defined at § 38-12-102(4)",CITED,VERIFIED,2026-08-18,2026-09-13,,"Read verbatim (Claude Browser follow-up, 2026-09-13): (1)(a) bars retention for normal wear and tear/preexisting conditions; (1)(b) is an exhaustive 'actual cause' list (nonpayment of rent, utilities, other lawful charges, or repair exceeding wear and tear); (7)(b) is the void-provision rule. ""Substantially less clean"" cleaning carve-out traces to the wear-and-tear definition at § 38-12-102(4)."
security-deposit-return-co,LEASE_CLAUSE,CO,"C.R.S. § 38-12-103(1), (2), (2.5); amended by HB 25-1249 (ch. 401), eff. 2026-01-01",CITED,VERIFIED,2026-08-18,2026-09-07,,"Corrected 2026-09-07: clock runs from termination-or-surrender whichever is LAST (not just vacate); added the written-itemized-reasons requirement and the wear-and-tear/preexisting-condition bar, both now material since (2.5) deems a bare/incomplete statement wrongful."
security-deposit-installments-co,LEASE_CLAUSE,CO,,REMOVED,VERIFIED,2026-08-18,2026-09-13,,"RESOLVED 2026-09-13: confirmed (2nd Claude Browser pass, full end-to-end statute check) that no current Colorado statute permits security-deposit installment payments. § 38-12-103's complete subsection list ((1),(1.5),(2),(2.5),(3),(3.5),(4)-(12)) is accounted for by HB25-1249's own history line, none is an installment right. Traced to the introduced draft of HB25-1249, same source/fate as a one-month deposit cap already rejected elsewhere in this project. Clause DEACTIVATED (is_active: FALSE in lease-clauses.csv) and removed from clauseTemplates.js/clauseResearchMetadata.js."
residential-use-only,LEASE_CLAUSE,CO,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,"Generic mechanics, no CO-specific statutory language."
existing-condition,LEASE_CLAUSE,CO,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,"Generic contractual acknowledgment, no CO-specific statutory reference."
permitted-occupants,LEASE_CLAUSE,CO,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,"Generic mechanics, no CO-specific statutory language."
no-disturbance,LEASE_CLAUSE,CO,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,"Generic mechanics, no CO-specific statutory language."
smoking-policy,LEASE_CLAUSE,CO,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,"Generic mechanics, no CO-specific statutory language."
utilities-responsibility,LEASE_CLAUSE,CO,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,"Generic mechanics, no CO-specific statutory language."
utility-service-continuity,LEASE_CLAUSE,CO,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,"Generic mechanics, no CO-specific statutory language."
utility-payment-evidence,LEASE_CLAUSE,CO,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,"Generic mechanics, no CO-specific statutory language."
acceptable-payment-methods,LEASE_CLAUSE,CO,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,"Generic mechanics, no CO-specific statutory language."
tenant-maintenance,LEASE_CLAUSE,CO,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,"Generic mechanics, no CO-specific statutory language."
no-sublet-assign,LEASE_CLAUSE,CO,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,"Generic mechanics, no CO-specific statutory language."
no-alterations,LEASE_CLAUSE,CO,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,"Generic mechanics, no CO-specific statutory language."
joint-liability,LEASE_CLAUSE,CO,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,"Generic mechanics, no CO-specific statutory language."
services-utilities-provided,LEASE_CLAUSE,CO,C.R.S. § 38-12-801(3),CITED,VERIFIED,2026-08-21,2026-08-27,,"Reworded 2026-08-27 from a tenant-side 'waives all liability' framing to a landlord-side allocation; 38-12-801(3) voids waivers of quiet enjoyment and good faith/fair dealing, so the waiver-framed language was mildly worse for CO too (uniform fix, not CO-forced)."
utilities-paid-by-landlord,LEASE_CLAUSE,CO,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,"Generic mechanics, no CO-specific statutory language."
appliances-included,LEASE_CLAUSE,CO,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,"Generic mechanics, no CO-specific statutory language."
landlord-maintenance,LEASE_CLAUSE,CO,,GENERIC,VERIFIED,2026-08-21,2026-09-13,,"Confirmed generic (Claude Browser follow-up, 2026-09-13): no CO-specific citation belongs on this row. Colorado's actual repair-timeline duty lives in § 38-12-503, already cited by habitability-timeline-co - recommended leaving this one uncited rather than attaching 38-12-503 to a generic clause."
habitability-timeline-co,LEASE_CLAUSE,CO,"C.R.S. § 38-12-503(6)(a)(I), (6)(a)(II), (6)(a)(III), (3)(a)(II), (4)(c); referencing § 38-12-505",CITED,VERIFIED,2026-08-20,2026-08-27,,"Corrected 2026-08-27: removed a fabricated 60-day-notice duty (60 days is actually the statute's hotel-room cap, misattributed); replaced with the real duties - 24hr contact/estimate, relocation-obligation notice, 24hr written entry notice for remedial action."
subsidy-habitability-proration-co,LEASE_CLAUSE,CO,"C.R.S. § 38-12-507; amended by HB25-1240 (ch. 291, L. 2025)",CITED,VERIFIED,2026-08-18,2026-09-13,,"Confirmed (Claude Browser follow-up, 2026-09-13). Caveat: a Senate floor amendment attempted to exclude the subsidy-paid portion from proration; DRE's post-enactment summary says reimbursement applies regardless of who paid (implying the amendment did not carry), but this rests on the summary, not the enrolled text."
habitability-notice-co,LEASE_CLAUSE,CO,"C.R.S. § 38-12-503(3)(f)(II), (3)(e); Anderson v. Shorter Arms Investors, LLC, 2023 COA 71, 537 P.3d 831",CITED,VERIFIED,2026-08-18,2026-08-27,,Corrected 2026-08-27: a bracket prompt suggesting a phone number as the notice channel would have waived the landlord's own right to written notice under (3)(f)(II); rewritten written-only with a warning.
utility-allowance-cap-co,LEASE_CLAUSE,CO,,NOT_STATUTE,VERIFIED,2026-08-18,2026-08-20,,"Explicitly NOT statute-derived - 'sourced from Taylor's own observation, not the statute walk.' No citation applies."
environmental-event-termination-co,LEASE_CLAUSE,CO,C.R.S. § 38-12-503(11)(a)-(f),CITED,VERIFIED,2026-08-18,2026-08-27,,An opt-in landlord right that exists ONLY 'if permitted by the rental agreement' - the one Part 5 provision where silence forfeits a right rather than the statute imposing a duty regardless of lease text.
landlords-access-co,LEASE_CLAUSE,CO,"C.R.S. § 38-12-503(6)(a)(III), (6)(b), (3)(d)",CITED,VERIFIED,2026-08-18,2026-08-27,landlords-access,No CO general entry-notice statute exists (confirmed via 6 sources); the 24hr figure is landlord policy for showings/general entry but IS statutorily required for habitability-remedial-action entry specifically.
possession-delay,LEASE_CLAUSE,CO,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,"Generic mechanics, no CO-specific statutory language."
default-by-tenant,LEASE_CLAUSE,CO,C.R.S. § 38-12-801(3)(a)(II),CITED,VERIFIED,2026-08-20,2026-09-06,,Forces the mutual 'prevailing party' fee-shifting language (a landlord-only fee clause is void in CO). Also carries a carve-out that an unpaid late fee alone cannot ground termination.
surrender-end-of-term,LEASE_CLAUSE,CO,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,"Generic mechanics, no CO-specific statutory language."
early-termination,LEASE_CLAUSE,CO,,GENERIC,VERIFIED,2026-08-21,2026-08-21,,"Generic mechanics (edited this session for content, but no CO-specific statute drives it)."
holdover,LEASE_CLAUSE,CO,,GENERIC,VERIFIED,2026-08-21,2026-09-03,,"Reworded 2026-09-03 to remove a baseless 'double rent' figure (had no statutory basis in ANY tagged state, CO included); now self-limiting to 'the maximum amount permitted by applicable law.' CO's own actual figure (no multiplier; reasonable rental value) is recorded separately in edu-holdover-co, C.R.S. § 13-40-123."
month-to-month-notice-co-exempt,LEASE_CLAUSE,CO,"C.R.S. § 13-40-107(1), (2), (3); amended by HB24-1098 (ch. 113, § 5, eff. 2024-04-19); references § 38-12-1302(1)(a), (b), (d), (e), (f)",CITED,VERIFIED,2026-08-18,2026-09-06,,"Corrected 2026-09-06: replaced a flat 21-day figure with the real 5-tier notice scheme (3/21/28/91 days by tenancy length, all floors not fixed periods, per HB24-1098's 'at least' language)."
month-to-month-notice-co-covered,LEASE_CLAUSE,CO,C.R.S. § 13-40-107(1); amended by HB24-1098; references § 38-12-1301 et seq. (not independently read),CITED,VERIFIED,2026-08-18,2026-09-06,,"Corrected 2026-09-06, same tiered-notice fix as the exempt variant, plus a structural fix: § 13-40-107(1) grants the termination route to a tenant of any property, not to a covered residential landlord - clause rewritten to state the tenant's route only. UNRESOLVED, FLAGGED FOR TAYLOR: by what route (if any) a covered residential landlord may terminate without cause in months 0-12 is not established on the text read; § 38-12-1301 et seq. was never independently read."
