clause_id,content_type,state,citation,citation_status,verification_status,effective_from,last_checked,supersedes,notes
abandoned-property-ne,LEASE_CLAUSE,NE,"Neb. Rev. Stat. §§69-2303, 69-2304, 69-2308",CITED,VERIFIED,2026-08-23,2026-08-23,,"Nebraska's Disposition of Personal Property Landlord and Tenant Act (Ch. 69) is a genuinely new architecture in this project -- a free-standing chapter, not a section inside the core landlord-tenant act like CO/WY/KS. Single notice with claim windows tied to delivery method, backed by a separate statutory sale procedure. Cross-referenced by the core URLTA at §76-1414(5) (tenant death) and §76-1441/§76-1446 (post-eviction property). Do not merge with KS's publication+mail method or WY's three-alternatives method -- three procedurally distinct systems."
acceptable-payment-methods,LEASE_CLAUSE,NE,,GENERIC,VERIFIED,2026-08-23,2026-08-23,,"Generic contract-mechanics clause; NE whole-library audit (session 2, 2026-08-23) found no NE-specific statutory language or conflict."
addendum-precedence,LEASE_CLAUSE,NE,,GENERIC,VERIFIED,2026-08-23,2026-08-23,,"Generic contract-mechanics clause; NE whole-library audit (session 2, 2026-08-23) found no NE-specific statutory language or conflict."
appliances-included,LEASE_CLAUSE,NE,,GENERIC,VERIFIED,2026-08-23,2026-08-23,,"Generic contract-mechanics clause; NE whole-library audit (session 2, 2026-08-23) found no NE-specific statutory language or conflict."
application-of-payments,LEASE_CLAUSE,NE,,GENERIC,VERIFIED,2026-08-23,2026-08-23,,"Generic contract-mechanics clause; NE whole-library audit (session 2, 2026-08-23) found no NE-specific statutory language or conflict."
assigned-parking-space,LEASE_CLAUSE,NE,,GENERIC,VERIFIED,2026-08-23,2026-08-23,,"Generic contract-mechanics clause; NE whole-library audit (session 2, 2026-08-23) found no NE-specific statutory language or conflict."
assistance-animal-accommodation-ne,LEASE_CLAUSE,NE,Neb. Rev. Stat. §§20-131.01 to 20-131.04,CITED,VERIFIED,2026-08-31,2026-08-31,assistance-animal-accommodation,"NE re-audit finding: Nebraska has an express service-animal HOUSING statute (Ch. 20, not Ch. 76) the library originally had zero rows on. §20-131.04 carries two distinct fee prohibitions (no extra compensation, no additional deposit) plus express tenant damage liability. Stronger than KS (generic KAAD duty only) and WY (whose right is expressly tied to the federal FHA); Nebraska's housing sections carry no federal cross-reference. Clause is deliberately drafted to the higher federal floor (Taylor's decision 2026-08-31) since the state right reaches SERVICE animals only, not ESAs -- see edu-esa-federal-only-ne."
carbon-monoxide-alarm-duty-ne,LEASE_CLAUSE,NE,Neb. Rev. Stat. §76-606(1)-(5),CITED,VERIFIED,2026-08-31,2026-08-31,,"New clause -- the library had no NE carbon-monoxide lease clause, only an education row that was itself wrong (see edu-carbon-monoxide-alarm-requirement-ne). Tracks the statute's own device-duty allocation, including the landlord-favorable §76-606(3)(b) carve-out that ongoing maintenance/battery care are NOT the landlord's responsibility. Drafted CONDITIONAL: the duty attaches only where the dwelling has a fuel-fired heater/appliance, a fireplace, or an attached garage."
common-area-use,LEASE_CLAUSE,NE,,GENERIC,VERIFIED,2026-08-23,2026-08-23,,"Generic contract-mechanics clause; NE whole-library audit (session 2, 2026-08-23) found no NE-specific statutory language or conflict."
default-by-tenant-ks-ne,LEASE_CLAUSE,NE,Neb. Rev. Stat. §76-1415(1)(c),CITED,VERIFIED,2026-08-31,2026-08-31,default-by-tenant,"Nebraska bans attorney's-fee-shifting provisions outright, the same flat rule as K.S.A. 58-2547(a)(3) -- combined into one shared KS;NE row per Taylor's direction rather than duplicating a near-identical KS-only row. See edu-tenant-noncompliance-notice-ne for NE's own cure-period/pay-or-quit mechanics."
due-at-signing,LEASE_CLAUSE,NE,,GENERIC,VERIFIED,2026-08-23,2026-08-23,,"Generic contract-mechanics clause; NE whole-library audit (session 2, 2026-08-23) found no NE-specific statutory language or conflict."
dv-lease-release-ne,LEASE_CLAUSE,NE,Neb. Rev. Stat. §76-1431.01,CITED,VERIFIED,2026-08-31,2026-08-31,,Split from a single DV clause per Taylor's call (session 1) -- Nebraska's DV protections are procedurally richer than CO/WY/KS's single-clause pattern. Part 1 of 3 (lease release).
dv-lockchange-ne,LEASE_CLAUSE,NE,"Neb. Rev. Stat. §§76-1431.03, 76-1431.04",CITED,VERIFIED,2026-08-31,2026-08-31,,"Split DV clause, part 3 of 3 (lock change)."
dv-perpetrator-removal-ne,LEASE_CLAUSE,NE,Neb. Rev. Stat. §76-1431.02,CITED,VERIFIED,2026-08-31,2026-08-31,,"Split DV clause, part 2 of 3 (perpetrator removal)."
early-termination-ne,LEASE_CLAUSE,NE,Neb. Rev. Stat. §76-1431(1); §76-1415(1)(a),CITED,VERIFIED,2026-08-23,2026-08-23,early-termination,"Whole-library audit found the generic clause's flat '10 days to cure' for landlord-initiated termination doesn't match Nebraska's actual 14-day cure period. Beyond being inaccurate, contractually shortening a statutory cure period is arguably itself a waiver of Act rights, prohibited outright under §76-1415(1)(a) -- not just a wrong number. Points to default-by-tenant-ks-ne and edu-tenant-noncompliance-notice-ne instead of restating a conflicting figure; cross-references NE's domestic-violence lease-release rights. Tenant's own voluntary 30-day+fee early-termination right is a contract right, unaffected."
edu-alt-housing-self-help-ne,LANDLORD_EDUCATION,NE,Neb. Rev. Stat. §76-1427(1)(c),CITED,VERIFIED,2026-08-31,2026-08-31,,"Genuinely different architecture from CO's landlord-mandate version (edu-alt-housing-co) -- not a clean confirmed-absent, since Nebraska does have an alternate-housing mechanic, just structured as a tenant self-help remedy (procure substitute housing, rent excused, plus cost recovery up to one month's rent if the landlord's failure was deliberate) rather than an affirmative landlord relocation duty."
edu-assistance-animal-carveout-mismatch-ne,LANDLORD_EDUCATION,NE,Neb. Rev. Stat. §20-131.02(1); §20-322(3),CITED,VERIFIED,2026-08-31,2026-08-31,,"Nebraska has two owner-occupied carve-outs with different scopes that do not align: the service-animal housing scheme's carve-out has no cap on rooms rented, while the Fair Housing Act's 'rent a room in your own home' exception stops applying once more than four sleeping rooms are rented. Directly answers the KS re-audit canvass row on checking exemptions separately from the underlying duty -- Nebraska's trap is a different shape than Kansas's KAAD small-landlord exemption."
edu-bad-check-restitution-vs-nsf-fee-ne,LANDLORD_EDUCATION,NE,"Neb. Rev. Stat. §28-611(5),(7)",CITED,VERIFIED,2026-08-31,2026-08-31,,"Read verbatim 2026-08-31; three fixes to the original row: (1) both subsections (5) voluntary restitution and (7) court-ordered restitution carry the same $10 + handling fee, not just (7); (2) the row conflated this with §28-611(6), an evidentiary presumption for prosecution, not a payment deadline (State v. Hruza, 223 Neb. 837 (1986)); (3) the $10 is the FINANCIAL INSTITUTION's actual bank charge, not a general service fee. The row's central point survives: this is a criminal-restitution figure, not a civil cap on a lease NSF fee -- several secondary sources (Innago, Landlord Studio) conflate the two."
edu-carbon-monoxide-alarm-requirement-ne,LANDLORD_EDUCATION,NE,"Neb. Rev. Stat. §§76-603 to 76-606 (Carbon Monoxide Safety Act, Laws 2015, LB34)",CITED,VERIFIED,2026-08-31,2026-08-31,,"Full primary text read 2026-08-31. The prior row was BACKWARDS on its central point: it told landlords an older, unaltered, unsold unit isn't automatically swept in, based on §§76-603/76-604 which actually govern new construction and sellers. §76-606(2) -- the section addressed to landlords -- makes a CHANGE IN TENANT OCCUPANCY on or after 2017-01-01 an independent trigger for EXISTING rentals, which catches essentially every turnover. Given carbon monoxide is lethal, this is flagged as the single most consequential finding of the NE re-audit; the error ran in the direction of under-warning. See carbon-monoxide-alarm-duty-ne, the new lease clause this finding produced."
edu-confirmed-absences-habitability-ne,LANDLORD_EDUCATION,NE,Neb. Rev. Stat. §76-1415(1)(a); §76-1419(2)-(3); full URLTA reviewed,CITED,VERIFIED,2026-08-31,2026-08-31,,"Confirmed absent x4, closing four CO re-audit checklist rows for NE via a full URLTA review: no blanket habitability non-waiver section (only the general §76-1415(1)(a) bar, and §76-1419(2)-(3) actually permits shifting some maintenance duties to the tenant by separate written agreement); no rule on whether oral notice satisfies a written-notice requirement; no renter's-insurance ban; no operational duties (response-time, communication, documentation) -- Nebraska's structure is tenant-remedy-triggered instead. Recorded as one row since all four share a root: Nebraska is a light-touch 1974 URLTA state that never received Colorado's 2019-2024 habitability overlay."
edu-confirmed-absences-misc-ne,LANDLORD_EDUCATION,NE,"Neb. Rev. Stat. Ch. 76, 45, 13, 81 reviewed; full URLTA reviewed",PARTIAL,VERIFIED,2026-08-31,2026-08-31,,"Four findings bundled in one row; three rest on this session's own direct primary reading and are solid (no double-letting statute; no fraudulent-misrepresentation termination statute; no smoke-detector evidentiary/insurance shield like Kansas's K.S.A. 31-162(g)-(h), which makes carbon-monoxide-alarm-duty-ne/smoke-detector-duty-ne MORE consequential in NE than the same clauses in KS). The fourth -- no payment-method fee ban -- is DIFFERENT and explicitly downgraded to NEEDS_REVIEW in the source log: it rests on the original research pass's review of Chapter 45, which this session did not itself re-read. Chapter 45 is large and a fee provision could sit in it unread. Carried here as PARTIAL rather than CONFIRMED_ABSENT for that one sub-finding specifically; resolve with a targeted Chapter 45 read before treating it as closed."
edu-disclosure-noncompliance-ne,LANDLORD_EDUCATION,NE,Neb. Rev. Stat. §76-1417(3),CITED,VERIFIED,2026-08-23,2026-08-23,,"If manager/owner disclosure information isn't kept current, whoever signed the lease becomes the tenant's implied agent for service of process and notices. Mirrors edu-disclosure-noncompliance-ks."
edu-dv-protections-procedure-ne,LANDLORD_EDUCATION,NE,Neb. Rev. Stat. §76-1410(11); §76-1431.02(4)(c),CITED,VERIFIED,2026-08-31,2026-08-31,,"Qualifying documentation is a protective order or third-party DV/sexual-assault-services certification under the federal VAWA reauthorization. Lock-change cost is chargeable to the tenant; attorney fees/court costs on a perpetrator-removal possession suit are recoverable from the perpetrator specifically, a statutory fee award tied to the DV process that doesn't conflict with the attorney-fee-shifting ban."
edu-electronic-notice-regime-ne,LANDLORD_EDUCATION,NE,"Neb. Rev. Stat. §76-1413 (Laws 2025, LB185)",CITED,VERIFIED,2026-08-31,2026-08-31,,"Read verbatim 2026-08-31. Entirely absent from the library before this session -- no NE row cited §76-1413 at all. §76-1413(9) is in substance a fifth prohibited lease provision that doesn't live in §76-1415, which is exactly why edu-prohibited-lease-terms-ne (built off §76-1415 alone) missed it: you may not require a tenant to accept electronic notice delivery as a lease term or renewal condition. Confirmed no conflict with the existing `notices`/`electronic-signatures` clauses, which never require electronic delivery."
